,Feature,Count,normalized_percent
0,Voice=Act,77,0.046357615894039736
1,Voice=Mid,48,0.028898254063816978
2,Voice=Pass,32,0.01926550270921132
0,Tense=Past,75,0.04515352197471403
1,Tense=Pres,67,0.0403371462974112
2,Tense=Fut,14,0.008428657435279952
3,Tense=Pqp,1,0.0006020469596628537
0,VerbForm=Fin,76,0.045755568934376885
1,VerbForm=Part,73,0.04394942805538832
2,VerbForm=Inf,8,0.00481637567730283
0,Case=Acc,78,0.04695966285370259
1,Case=Nom,71,0.042745334136062615
2,Case=Gen,61,0.03672486453943408
3,Case=Dat,52,0.031306441902468396
4,Case=Voc,4,0.002408187838651415
0,Number=Sing,195,0.11739915713425647
1,Number=Plur,148,0.08910295003010235
0,Degree=Pos,27,0.01625526791089705
1,Degree=Sup,16,0.00963275135460566
2,Degree=Cmp,12,0.007224563515954244
0,Gender=Masc,114,0.06863335340156532
1,Gender=Fem,77,0.046357615894039736
2,Gender=Neut,66,0.039735099337748346
3,"Gender=Masc,Neut",5,0.0030102347983142685
4,"Gender=Fem,Masc",1,0.0006020469596628537
0,PronType=Prs,44,0.026490066225165563
1,PronType=Dem,28,0.016857314870559904
2,PronType=Rel,23,0.013847080072245636
3,PronType=Int,6,0.003612281757977122
4,PronType=Rcp,3,0.001806140878988561
0,Reflex=Yes,12,0.007224563515954244
0,Mood=Ind,48,0.028898254063816978
1,Mood=Sub,17,0.010234798314268514
2,Mood=Imp,6,0.003612281757977122
3,Mood=Opt,4,0.002408187838651415
0,Aspect=Perf,66,0.039735099337748346
1,Aspect=Imp,6,0.003612281757977122
