,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,114,0.0385,On the Giants,On the Unchangeableness of God,4
7,121,0.0031,On the Giants,Who is the Heir?,4
10,124,0.029,On the Giants,On the Change of Names,4
21,135,0.0227,On the Giants,On the Eternity of the World,2
24,138,0.0001,On the Giants,On the Creation of the World,3
25,139,0.0174,On the Giants,Allegorical Interpretations,4
29,87,0.0387,On the Giants,On the Posterity and Exile of Cain,4
