,Unnamed: 0,p_value,Text1,Text2,TextGrouping
3,332,0.0098,On Flight and Finding,On the Life of Joseph,3
4,333,0.0043,On Flight and Finding,On the Life of Moses,3
7,336,0.0018,On Flight and Finding,On the Virtues,3
8,337,0.0068,On Flight and Finding,On Rewards and Punishments,3
10,339,0.0227,On Flight and Finding,On the Contemplative Life,2
12,341,0.0012,On Flight and Finding,Against Flaccus,1
13,342,0.0035,On Flight and Finding,On the Embassy to Gaius,1
14,343,0.0387,On Flight and Finding,On the Creation of the World,3
