,Feature,Count,normalized_percent
0,Voice=Act,101,0.04862782859894078
1,Voice=Mid,70,0.033702455464612424
2,Voice=Pass,43,0.020702936928261917
0,Tense=Past,107,0.05151661049590756
1,Tense=Pres,79,0.03803562831006259
2,Tense=Fut,23,0.011073663938372653
3,Tense=Pqp,5,0.002407318247472316
0,VerbForm=Fin,109,0.05247953779489649
1,VerbForm=Part,98,0.04718343765045739
2,VerbForm=Inf,7,0.003370245546461242
0,Case=Acc,92,0.04429465575349061
1,Case=Nom,78,0.03755416466056813
2,Case=Dat,69,0.03322099181511796
3,Case=Gen,68,0.0327395281656235
4,Case=Voc,4,0.0019258545979778526
0,Number=Sing,238,0.11458834857968224
1,Number=Plur,185,0.08907077515647568
0,Degree=Pos,27,0.012999518536350506
1,Degree=Cmp,22,0.01059220028887819
2,Degree=Sup,22,0.01059220028887819
0,Gender=Masc,136,0.065479056331247
1,Gender=Fem,87,0.04188733750601829
2,Gender=Neut,74,0.03562831006259028
3,"Gender=Masc,Neut",7,0.003370245546461242
4,"Gender=Fem,Masc",5,0.002407318247472316
0,PronType=Prs,43,0.020702936928261917
1,PronType=Dem,28,0.013480982185844969
2,PronType=Rel,24,0.011555127587867116
3,PronType=Int,10,0.004814636494944632
4,PronType=Rcp,1,0.00048146364949446316
0,Reflex=Yes,8,0.0038517091959557053
0,Mood=Ind,62,0.029850746268656716
1,Mood=Sub,22,0.01059220028887819
2,Mood=Imp,14,0.006740491092922484
3,Mood=Opt,8,0.0038517091959557053
0,Aspect=Perf,91,0.043813192103996146
1,Aspect=Imp,10,0.004814636494944632
