,Unnamed: 0,p_value,Text1,Text2,TextGrouping
1,346,0.0129,On the Change of Names,On the Life of Abraham,3
2,347,0.0021,On the Change of Names,On the Life of Joseph,3
3,348,0.0006,On the Change of Names,On the Life of Moses,3
4,349,0.0129,On the Change of Names,On the Decalogue,3
6,351,0.0003,On the Change of Names,On the Virtues,3
7,352,0.0012,On the Change of Names,On Rewards and Punishments,3
9,354,0.0035,On the Change of Names,On the Contemplative Life,2
11,356,0.0002,On the Change of Names,Against Flaccus,1
12,357,0.0005,On the Change of Names,On the Embassy to Gaius,1
15,14,0.0175,On the Change of Names,On the Cherubim,4
19,124,0.029,On the Change of Names,On the Giants,4
21,173,0.0189,On the Change of Names,On Agriculture,4
