,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,444,0.0448,Every Good Man is Free,On the Contemplative Life,2
2,446,0.0105,Every Good Man is Free,Against Flaccus,1
3,447,0.0151,Every Good Man is Free,On the Embassy to Gaius,1
24,392,0.0458,Every Good Man is Free,On the Life of Joseph,3
25,403,0.0153,Every Good Man is Free,On the Life of Moses,3
28,430,0.0106,Every Good Man is Free,On the Virtues,3
29,437,0.0255,Every Good Man is Free,On Rewards and Punishments,3
