,Unnamed: 0,p_value,Text1,Text2,TextGrouping
5,415,0.0148,On the Decalogue,On the Eternity of the World,2
8,418,0.0,On the Decalogue,On the Creation of the World,3
9,419,0.0086,On the Decalogue,Allegorical Interpretations,4
13,103,0.0259,On the Decalogue,On the Posterity and Exile of Cain,4
15,154,0.0238,On the Decalogue,On the Unchangeableness of God,4
22,301,0.0012,On the Decalogue,Who is the Heir?,4
25,349,0.0129,On the Decalogue,On the Change of Names,4
