,Unnamed: 0,p_value,Text1,Text2,TextGrouping
5,170,0.003,On Agriculture,Who is the Heir?,4
8,173,0.0189,On Agriculture,On the Change of Names,4
19,184,0.0175,On Agriculture,On the Eternity of the World,2
22,187,0.0001,On Agriculture,On the Creation of the World,3
23,188,0.0121,On Agriculture,Allegorical Interpretations,4
27,89,0.0181,On Agriculture,On the Posterity and Exile of Cain,4
29,140,0.0301,On Agriculture,On the Unchangeableness of God,4
