,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,420,0.0187,On the Special Laws,On the Virtues,3
1,421,0.0426,On the Special Laws,On Rewards and Punishments,3
5,425,0.0128,On the Special Laws,Against Flaccus,1
6,426,0.0374,On the Special Laws,On the Embassy to Gaius,1
7,427,0.0019,On the Special Laws,On the Creation of the World,3
21,302,0.0289,On the Special Laws,Who is the Heir?,4
28,400,0.0366,On the Special Laws,On the Life of Moses,3
