,Unnamed: 0,p_value,Text1,Text2,TextGrouping
16,46,0.0238,On the Sacrifices of Cain and Abel,On the Life of Joseph,3
17,47,0.0091,On the Sacrifices of Cain and Abel,On the Life of Moses,3
20,50,0.0057,On the Sacrifices of Cain and Abel,On the Virtues,3
21,51,0.0158,On the Sacrifices of Cain and Abel,On Rewards and Punishments,3
23,53,0.0402,On the Sacrifices of Cain and Abel,On the Contemplative Life,2
25,55,0.0026,On the Sacrifices of Cain and Abel,Against Flaccus,1
26,56,0.009,On the Sacrifices of Cain and Abel,On the Embassy to Gaius,1
27,57,0.0142,On the Sacrifices of Cain and Abel,On the Creation of the World,3
