,Unnamed: 0,p_value,Text1,Text2,TextGrouping
1,256,0.0476,On the Confusion of Tongues,Who is the Heir?,4
8,263,0.0198,On the Confusion of Tongues,On the Life of Moses,3
11,266,0.0152,On the Confusion of Tongues,On the Virtues,3
16,271,0.0083,On the Confusion of Tongues,Against Flaccus,1
17,272,0.0226,On the Confusion of Tongues,On the Embassy to Gaius,1
18,273,0.0026,On the Confusion of Tongues,On the Creation of the World,3
