,Unnamed: 0,p_value,Text1,Text2,TextGrouping
8,382,0.0105,On the Life of Abraham,On the Eternity of the World,2
11,385,0.0,On the Life of Abraham,On the Creation of the World,3
12,386,0.009,On the Life of Abraham,Allegorical Interpretations,4
16,100,0.0172,On the Life of Abraham,On the Posterity and Exile of Cain,4
18,151,0.0227,On the Life of Abraham,On the Unchangeableness of God,4
25,298,0.0016,On the Life of Abraham,Who is the Heir?,4
28,346,0.0129,On the Life of Abraham,On the Change of Names,4
