,Unnamed: 0,p_value,Text1,Text2,TextGrouping
2,2,0.0237,On the Cherubim,On the Posterity and Exile of Cain,4
4,4,0.0348,On the Cherubim,On the Unchangeableness of God,4
11,11,0.0011,On the Cherubim,Who is the Heir?,4
14,14,0.0175,On the Cherubim,On the Change of Names,4
25,25,0.0206,On the Cherubim,On the Eternity of the World,2
28,28,0.0001,On the Cherubim,On the Creation of the World,3
29,29,0.0071,On the Cherubim,Allegorical Interpretations,4
