,Unnamed: 0,p_value,Text1,Text2,TextGrouping
5,317,0.0383,On the Preliminary Studies,On the Life of Moses,3
8,320,0.0239,On the Preliminary Studies,On the Virtues,3
13,325,0.014,On the Preliminary Studies,Against Flaccus,1
14,326,0.0359,On the Preliminary Studies,On the Embassy to Gaius,1
15,327,0.0018,On the Preliminary Studies,On the Creation of the World,3
29,294,0.0345,On the Preliminary Studies,Who is the Heir?,4
