,Unnamed: 0,p_value,Text1,Text2,TextGrouping
5,392,0.0458,On the Life of Joseph,Every Good Man is Free,2
7,394,0.0014,On the Life of Joseph,On the Eternity of the World,2
10,397,0.0,On the Life of Joseph,On the Creation of the World,3
11,398,0.001,On the Life of Joseph,Allegorical Interpretations,4
13,46,0.0238,On the Life of Joseph,On the Sacrifices of Cain and Abel,4
14,74,0.0122,On the Life of Joseph,The Worse Attacks the Better,4
15,101,0.003,On the Life of Joseph,On the Posterity and Exile of Cain,4
17,152,0.0032,On the Life of Joseph,On the Unchangeableness of God,4
20,221,0.0264,On the Life of Joseph,On Drunkeness,4
24,299,0.0001,On the Life of Joseph,Who is the Heir?,4
26,332,0.0098,On the Life of Joseph,On Flight and Finding,4
27,347,0.0021,On the Life of Joseph,On the Change of Names,4
28,361,0.016,On the Life of Joseph,On Dreams,4
