,Unnamed: 0,p_value,Text1,Text2,TextGrouping
0,29,0.0071,On the Cherubim,Allegorical Interpretations,4
4,139,0.0174,On the Giants,Allegorical Interpretations,4
6,188,0.0121,On Agriculture,Allegorical Interpretations,4
11,293,0.0412,On the Migration of Abraham,Allegorical Interpretations,4
17,386,0.009,On the Life of Abraham,Allegorical Interpretations,3
18,398,0.001,On the Life of Joseph,Allegorical Interpretations,3
19,409,0.0002,On the Life of Moses,Allegorical Interpretations,3
20,419,0.0086,On the Decalogue,Allegorical Interpretations,3
22,436,0.0001,On the Virtues,Allegorical Interpretations,3
23,443,0.0008,On Rewards and Punishments,Allegorical Interpretations,3
25,454,0.0023,On the Contemplative Life,Allegorical Interpretations,2
27,461,0.0001,Against Flaccus,Allegorical Interpretations,1
28,463,0.0002,On the Embassy to Gaius,Allegorical Interpretations,1
