,Feature,Count,normalized_percent
0,Voice=Act,89,0.051445086705202314
1,Voice=Mid,46,0.026589595375722544
2,Voice=Pass,36,0.020809248554913295
0,Tense=Past,87,0.050289017341040465
1,Tense=Pres,68,0.03930635838150289
2,Tense=Fut,14,0.008092485549132947
3,Tense=Pqp,2,0.0011560693641618498
0,VerbForm=Part,95,0.05491329479768786
1,VerbForm=Fin,68,0.03930635838150289
2,VerbForm=Inf,8,0.004624277456647399
0,Case=Acc,79,0.04566473988439306
1,Case=Nom,76,0.04393063583815029
2,Case=Dat,65,0.03757225433526012
3,Case=Gen,59,0.03410404624277456
4,Case=Voc,2,0.0011560693641618498
0,Number=Sing,199,0.11502890173410404
1,Number=Plur,154,0.08901734104046242
0,Degree=Pos,25,0.014450867052023121
1,Degree=Sup,22,0.012716763005780347
2,Degree=Cmp,19,0.010982658959537572
0,Gender=Masc,114,0.06589595375722543
1,Gender=Fem,84,0.048554913294797684
2,Gender=Neut,73,0.042196531791907514
3,"Gender=Masc,Neut",6,0.003468208092485549
4,"Gender=Fem,Masc",1,0.0005780346820809249
0,PronType=Prs,30,0.017341040462427744
1,PronType=Dem,28,0.016184971098265895
2,PronType=Rel,24,0.013872832369942197
3,PronType=Int,6,0.003468208092485549
0,Reflex=Yes,4,0.0023121387283236996
0,Mood=Ind,39,0.02254335260115607
1,Mood=Sub,10,0.005780346820809248
2,Mood=Opt,10,0.005780346820809248
3,Mood=Imp,8,0.004624277456647399
0,Aspect=Perf,75,0.04335260115606936
1,Aspect=Imp,5,0.002890173410404624
