,Unnamed: 0,p_value,Text1,Text2,TextGrouping
1,361,0.016,On Dreams,On the Life of Joseph,3
2,362,0.0063,On Dreams,On the Life of Moses,3
5,365,0.0027,On Dreams,On the Virtues,3
6,366,0.0108,On Dreams,On Rewards and Punishments,3
8,368,0.0331,On Dreams,On the Contemplative Life,2
10,370,0.0011,On Dreams,Against Flaccus,1
11,371,0.0049,On Dreams,On the Embassy to Gaius,1
12,372,0.0166,On Dreams,On the Creation of the World,3
