,Unnamed: 0,p_value,Text1,Text2,TextGrouping
9,221,0.0264,On Drunkeness,On the Life of Joseph,3
10,222,0.0121,On Drunkeness,On the Life of Moses,3
13,225,0.0072,On Drunkeness,On the Virtues,3
14,226,0.0214,On Drunkeness,On Rewards and Punishments,3
16,228,0.0426,On Drunkeness,On the Contemplative Life,2
18,230,0.0027,On Drunkeness,Against Flaccus,1
19,231,0.0097,On Drunkeness,On the Embassy to Gaius,1
20,232,0.0129,On Drunkeness,On the Creation of the World,3
