,lemma,count
139,man,119
184,God,103
50,men,79
56,But,72
70,power,68
52,virtue,67
199,soul,66
120,nature,59
21,also,54
197,good,52
524,time,44
142,say,43
6,first,42
522,body,35
14,world,35
640,I,34
644,sens,34
436,even,34
369,every,33
145,life,33
372,great,33
215,name,33
964,son,32
978,Abraham,31
661,mind,31
519,country,31
856,sight,30
113,reason,30
350,another,29
53,others,29
140,may,28
433,person,27
262,though,27
919,disposition,27
1045,eye,26
643,outward,26
33,place,26
57,since,25
397,would,25
198,hope,25
65,whole,25
918,three,25
1112,’,25
1378,child,25
600,wise,25
169,upon,24
242,father,24
2,law,24
100,object,24
930,able,23
1,sacred,23
353,said,23
61,perfect,23
517,city,23
346,evil,22
689,word,22
561,must,21
151,action,21
122,might,21
693,mean,21
1061,towards,21
508,part,21
651,land,20
7,called,20
98,scripture,20
234,namely,20
0,The,20
263,number,19
1483,wife,19
1097,kind,19
164,natural,19
356,together,19
926,still,19
175,never,19
118,given,19
1307,king,19
154,without,19
652,desire,19
108,living,19
450,like,18
469,excellent,18
227,rather,17
368,Therefore,17
476,love,17
325,among,17
112,two,17
71,manner,17
216,race,17
211,lover,16
834,heaven,16
316,made,16
711,alone,16
419,either,16
430,account,16
604,honour,16
2152,praise,15
143,nothing,15
288,multitude,15
683,give,15
704,passion,15
423,else,15
682,woman,15
66,subject,15
412,divine,15
402,found,15
229,inasmuch,15
2221,sacrifice,15
345,fear,15
312,virtuous,15
308,destroyed,15
90,Now,15
266,way,15
432,many,15
1254,light,14
449,whatever,14
1246,long,14
523,indeed,14
225,look,14
443,justice,14
170,fact,14
336,holy,14
287,rest,14
483,whether,14
612,cause,14
4,five,14
42,animal,14
34,earth,14
51,lived,14
375,free,13
994,sense,13
301,full,13
639,proof,13
846,forth,13
545,piety,13
738,age,13
690,house,13
775,possible,13
78,order,13
177,purpose,13
526,left,13
25,war,13
117,thus,12
272,everything,12
44,accordance,12
572,second,12
993,much,12
233,human,12
1015,therefore,12
557,truth,12
81,go,12
628,day,12
102,sake,11
1318,hand,11
393,better,11
93,whose,11
907,gift,11
1676,servant,11
591,become,11
203,plain,11
734,little,11
541,wisdom,11
59,portion,11
1030,death,11
319,language,11
422,longer,11
1226,motion,11
355,come,11
244,universe,11
1328,moment,11
214,common,10
323,four,10
887,flock,10
83,present,10
16,beginning,10
1094,hearing,10
547,pleasure,10
556,speak,10
220,Chaldaeans,10
1338,looked,10
552,superior,10
655,last,10
1625,glory,10
646,speech,10
726,visible,10
989,appears,10
155,ever,10
638,greatest,10
1842,shall,10
768,nation,10
55,wickedness,10
1202,brought,10
290,worthy,10
479,make,9
1024,set,9
344,always,9
741,received,9
1319,circumstance,9
620,excellence,9
1259,seen,9
338,character,9
929,yet,9
221,call,9
1710,opinion,9
1178,often,9
426,naturally,9
190,entire,9
722,victory,9
642,exist,9
213,giving,9
973,share,9
32,taken,9
1353,far,9
1341,external,9
36,fire,9
539,instruction,9
85,particular,9
24,peace,9
67,We,9
1245,doctrine,9
497,mankind,9
1201,custom,9
1506,husband,9
589,thought,9
895,command,8
264,beyond,8
462,true,8
598,well,8
896,master,8
914,reward,8
904,disease,8
1316,distance,8
1118,thinking,8
249,This,8
37,water,8
38,contrary,8
1013,sound,8
75,necessary,8
332,intellect,8
860,wholly,8
473,abundance,8
1567,connection,8
770,individual,8
62,complete,8
756,best,8
1852,affection,8
1211,went,8
160,ought,8
1354,could,8
407,take,8
405,change,8
390,changed,8
291,receive,8
698,degree,8
351,perhaps,8
685,certain,8
1325,touch,8
478,eager,7
482,people,7
1000,derived,7
1397,existence,7
962,household,7
1748,think,7
1301,force,7
912,end,7
330,essence,7
563,genuine,7
1009,arrive,7
787,appeared,7
1043,seeing,7
364,within,7
925,came,7
534,It,7
1452,marriage,7
425,class,7
504,becoming,7
411,destitute,7
39,birth,7
331,appreciable,7
984,instead,7
909,period,7
2087,Again,7
400,statement,7
960,concerning,7
383,next,7
310,exists,7
1818,truly,7
1183,powerful,7
150,spirit,7
1158,see,7
114,desirous,7
891,created,7
723,moreover,7
1599,appearance,7
129,established,7
1960,burnt,7
250,generation,7
1489,authority,7
148,back,7
886,innumerable,7
128,according,7
192,respect,7
670,need,7
1494,beauty,7
200,devoted,7
2076,grief,7
798,existing,7
707,saying,7
803,district,7
1589,put,7
138,So,7
146,ancient,7
701,away,7
1466,became,7
905,aforesaid,7
1467,inhabitant,7
172,reality,7
286,silence,7
115,show,7
1286,short,7
795,punishment,7
218,favour,7
1146,calamity,7
222,real,7
2045,smell,7
827,vast,7
1133,event,7
778,seeking,7
107,conduct,7
124,difficult,6
1333,perceptible,6
1490,gave,6
378,nevertheless,6
370,state,6
384,rank,6
292,appellation,6
209,historian,6
207,really,6
1889,numerous,6
1062,let,6
1795,faculty,6
532,led,6
819,everlasting,6
416,expression,6
1054,behold,6
1055,Father,6
176,deliberate,6
1355,impossible,6
409,case,6
178,anything,6
992,knowledge,6
2550,elder,6
724,noble,6
509,home,6
45,admirable,6
996,different,6
970,return,6
1498,stranger,6
965,middle,6
1899,fruit,6
766,crop,6
543,courage,6
892,slave,6
82,investigate,6
1377,took,6
1258,saw,6
660,dominant,6
252,existed,6
253,previously,6
254,conceived,6
588,vigorous,6
317,find,6
1268,In,6
1110,commanded,6
1721,instance,6
1115,foreign,6
