,lemma,count
55,one,102
100,thing,99
148,God,89
39,man,73
22,For,70
37,And,62
133,say,53
27,also,50
494,tree,47
217,But,44
61,number,41
605,fruit,41
250,may,38
271,place,37
71,nature,36
42,plant,36
354,good,35
167,made,34
146,therefore,34
291,said,34
328,soul,33
194,mind,33
145,must,30
34,earth,29
690,men,29
23,Moses,29
1770,wine,29
315,called,29
737,wise,28
554,shall,27
619,virtue,26
162,every,26
107,upon,25
156,body,24
160,since,23
104,name,23
11,time,23
9,great,23
21,power,23
67,world,22
478,even,21
454,person,21
862,inheritance,21
66,namely,20
73,order,20
748,Lord,20
324,mean,20
112,reason,20
43,manner,20
1025,year,19
438,account,19
738,drunk,18
373,forth,18
48,perfect,18
498,many,18
318,two,18
620,never,17
49,universe,17
284,portion,17
536,Therefore,16
128,would,16
281,animal,16
483,wisdom,16
5,art,15
235,created,15
311,according,15
356,subject,15
40,whole,15
397,kind,14
305,others,14
84,water,14
533,holy,14
86,air,14
136,without,14
428,word,14
2,part,14
1377,three,13
442,cause,13
1615,four,13
248,among,13
1502,sacrifice,13
485,sacred,13
44,first,13
35,planted,13
15,question,13
63,like,13
53,greatest,13
1187,ten,13
780,possession,12
709,respect,12
323,sens,12
208,different,12
1026,day,12
379,food,12
402,eye,12
817,truth,12
870,The,11
858,people,11
1151,matter,11
798,ever,11
102,heaven,11
455,alone,11
83,placed,11
546,honour,11
669,produce,11
433,life,11
280,call,11
0,In,10
712,evil,10
198,everything,10
259,end,10
635,think,10
629,Paradise,10
336,received,10
1786,get,10
407,old,10
1212,found,10
456,towards,10
1168,well,10
1116,still,10
132,together,10
668,use,10
68,Creator,10
961,often,9
878,I,9
87,fire,9
357,king,9
179,either,9
365,case,9
372,bring,9
484,knowledge,9
430,’,9
1073,ancient,9
1383,fifth,9
203,appropriate,9
1380,fourth,9
264,bear,9
561,make,9
378,suitable,9
212,let,9
215,able,9
622,Now,9
404,hand,9
1086,whatever,8
922,master,8
1772,drunkenness,8
924,creation,8
47,comprehension,8
177,follows,8
219,law,8
587,ear,8
591,faculty,8
564,Cause,8
191,appear,8
1061,purified,8
864,give,8
195,always,8
459,know,8
557,right,8
211,raised,8
1421,deposit,8
1020,opposite,8
739,unmixed,8
791,beyond,8
523,study,8
320,capable,8
901,meaning,8
1163,concerning,8
517,light,8
383,indeed,7
322,external,7
85,middle,7
52,He,7
19,specie,7
675,need,7
689,doctrine,7
951,country,7
695,passion,7
245,divine,7
585,sense,7
126,anything,7
377,necessary,7
747,thou,7
207,present,7
1658,gratitude,7
223,This,7
1227,drink,7
907,expression,7
130,another,7
