lemma,count
θεός,110
πᾶς,61
ψυχή,60
λέγω,60
λόγος,57
μόνος,55
φημί,53
ἄνθρωπος,40
ὄνομα,40
ἀρετή,40
φύσις,38
κύριος,35
γίγνομαι,32
ἀγαθός,32
ἕτερος,31
Μουσός,31
πολύς,30
νόος,27
μέγας,27
τρόπος,25
πατήρ,25
γένος,24
ἔχω,24
θνητός,24
σῶμα,23
θεῖος,23
ἄριστος,22
δύναμις,22
εἶπον,20
ὅλος,20
υἱός,20
ἐπός,19
ἀρχή,18
σοφός,18
ἐκεῖνος,17
τέλειος,17
πρότερος,17
καλός,17
μέσος,16
αἰσθητός,16
καρπός,15
ὅσος,15
βίος,15
χάρις,15
ἑρμηνεύς,15
χράω,14
εἶδον,14
σός,14
γένης,14
ἡγεμών,14
κόσμος,14
μέλλω,14
ἔργον,14
καλέω,14
σύμβολος,13
δύναμαι,13
δίδωμι,13
κατός,12
διανοία,12
ἄξιος,12
φέρω,12
ὁράω,11
χρησμός,11
ἕκαστος,11
δεῖ,11
βασιλεύς,11
μᾶλλον,11
χείρ,11
βούλομαι,11
εἰκότως,11
κακός,11
ἱερόν,11
ἀριθμός,10
ἀεί,10
ἴσος,10
ἀβραά,10
ἴδιος,10
διό,10
ἵνα,10
γενέσις,10
διάνοια,10
δύο,10
μικρός,10
στόμα,10
οὐρανός,10
δοκέω,10
ἀκούω,10
ἐλπίς,10
Ἀβραός,9
λαμβάνω,9
ἀφός,9
ὁμοῦ,9
πράγμα,9
Ἰάκαψ,9
καθός,9
πάλιν,9
πρᾶγμα,9
γοῦν,9
νῦν,9
πάντως,9
μέρος,9
ὄντως,9
ἄφρων,9
ἅπας,9
παρύ,9
δίκαιος,9
εὔχομαι,9
μουσικός,9
ὥσπερ,9
φρόνησις,9
εὐθύς,9
μήτηρ,9
ἀναγκαῖος,9
χρόνος,9
ἄνευ,8
ἔοικα,8
ἔρχομαι,8
ὁπότε,8
μνήμη,8
ἱκανός,8
Αἴγυπτος,8
νόμος,8
δέχομαι,8
καιρός,8
ἀθάνατος,8
ἡμέρα,8
ἀστεῖος,8
ποιέω,8
αἴτιος,8
ζάω,8
ὠφέλεια,8
πίπτω,8
ἀνήρ,8
φυσικός,8
πάθος,8
μανθάνω,8
χαρά,8
ἱερεύς,7
ἄφθαρτος,7
δόγμα,7
μέντοι,7
ἀλήθεια,7
ἐπιστήμη,7
τρεῖς,7
φωνή,7
φόβος,7
φαῦλος,7
εὐεργεσία,7
πάρειμι,7
ταὐτός,7
ἱερός,7
σύνολος,7
εὑρίσκω,7
συμβαίνω,7
Ἰωσή,7
πτηνός,7
ἐρῶ,7
ἔθνος,7
πρόβατος,7
πρᾶξις,7
ἴσης,6
χαρός,6
γνώμη,6
μηδός,6
πρόσρησις,6
σύμβολον,6
αἰών,6
λόγιον,6
Ἰσαά,6
κτῆσις,6
πρέσβυς,6
γιγνώσκω,6
ὑπάρχος,6
ἀμφότερος,6
Φαραός,6
ἄτρεπτος,6
κλῆρος,6
τίθημι,6
παίδεια,6
εἶδος,6
γονεύς,6
ἀδικός,6
φρόνιμος,6
ἵστημι,6
αἰσθήσης,6
τροπή,6
δωρεά,6
ἥλιος,6
γυνή,6
δίκη,6
μηδέ,6
φυτός,6
αὖ,6
οἰκεῖος,6
τοίνυν,6
εἰ,6
πόνος,6
ἀμείνων,6
σχεδόν,6
16),6
τέκνον,6
γέλως,6
ζωῦς,6
γελάω,6
12),6
ἐνενήκοντα,5
ὀφθαλμός,5
φαντασία,5
φώς,5
ὅσπερ,5
ὅταν,5
χωρίς,5
νοητός,5
πηγή,5
21),5
ἰδύς,5
πρόσωπος,5
φύω,5
„καὶ,5
ἀσκητής,5
ἐμός,5
γενητός,5
ἡνίκα,5
εἰσάπαξ,5
ἀψευδή,5
ὅπως,5
κτῆμα,5
ἑκούσιος,5
συγγενής,5
σύμπας,5
ἅμα,5
ἐκτός,5
ἀληθής,5
ἀδύνατος,5
ποῖος,5
φιλοσοφία,5
σοφία,5
ἐνώπιος,5
ἔξωθεν,5
10),5
κατορθός,5
ζωή,5
παντελής,5
ἀγαπητός,5
διαθήκη,5
πόλεμος,5
19),5
τοσοῦτος,5
ἡδονή,5
λύπη,5
ἠθικός,5
πλείων,5
χράτος,5
ἅτε,5
χώρα,5
μεταληφθεί,5
δόξα,5
αἰσθητής,5
παῖς,5
τίκτω,5
πάνυ,5
Συμεός,5
ὁρατικός,5
ἀνάμνησις,5
συμβαίνης,5
ἀκοή,5
πίστις,5
κρίσις,5
ἐκγίγνομαι,5
ἑπτά,5
ἐναντίος,5
στεῖρος,5
ἀνδρεῖος,5
διανός,5
χρή,5
τροφή,5
αὐτομαθής,4
ἀπαρχή,4
δεκάς,4
26),4
τελειότης,4
νομίση,4
διαφέρα,4
νόθος,4
ὑύς,4
ἄσωμα,4
οὐσία,4
διδασκαλίος,4
ἤδη,4
ζητός,4
ἀγένητος,4
