lemma,count
θεός,177
πᾶς,151
λόγος,143
ψυχή,112
μόνος,101
λέγω,90
ἑαυτοῦ,85
φημί,83
φύσις,69
ἄνθρωπος,66
σῶμα,65
ἕτερος,62
ἔχω,60
βίος,54
ἐπός,53
μέγας,53
τόπος,51
γίγνομαι,49
κόσμος,48
ὅλος,47
εἶπον,45
θεῖος,44
οὐρανός,44
καλός,44
ἀρετή,42
ἥλιος,40
νόος,39
ἐκεῖνος,38
ὥσπερ,38
πολύς,37
πατήρ,35
τρόπος,35
ὅταν,34
δύναμις,34
ποταμός,32
κύριος,31
εἶδον,30
ἀγαθός,30
πόλις,29
ἕκαστος,28
ὁράω,28
δόξα,28
πρῶτος,27
ἱερός,27
ὄνομα,26
μᾶλλον,26
γένος,25
κακός,25
ἔρχομαι,24
ὕδωρ,24
πράγμα,24
ἅπας,24
αἰσθήσης,24
ἡγεμών,24
ἡμέρα,24
ἵνα,24
δοκέω,23
ἀλήθεια,23
ἄξιος,22
ἀρχή,22
πάλιν,22
καθός,22
ἀναγκαῖος,21
πρότερος,21
χράω,21
Ἀβραός,20
τρεῖς,20
διό,20
καλέω,20
κενή,20
ποιέω,20
κεφαλή,19
χρόνος,19
οἶδα,19
σοφός,19
εἶδος,18
ὕπνος,18
κατός,18
παρύ,18
σοφία,18
χώρα,18
ἔοικα,18
βασιλεύς,18
δύναμαι,18
χείρ,18
λαμβάνω,17
ἐπιστήμη,17
πάθος,17
ἀσκητής,17
ἵστημι,17
νόμος,17
ἡδονή,17
ὄνειρος,16
φαντασία,16
ἄγγελος,16
σύμβολος,16
ἄριστος,16
ποικίλος,16
βούλομαι,16
ἀήρ,16
θνητός,16
αἶσθα,16
Μουσός,16
γενέσις,16
ἀνάγκη,16
ἄχρι,16
ἀφός,16
φάος,16
ἔργον,16
μέρος,16
ἴδιος,15
εὐθύς,15
νῦν,15
ἑκάτερος,15
γνώμη,15
ἀνήρ,15
δεύτερος,14
ἕως,14
τρίτος,14
πρᾶγμα,14
φέγγος,14
οἶκος,14
Αἴγυπτος,14
ἴσως,13
τοίνυν,13
κύκλος,13
ἆρα,13
νύξ,13
ἄκρος,13
ἑρμηνεύς,13
ἀδελφός,13
δεῖ,13
τροφή,13
σκότος,13
ἐπειδάν,13
φέρω,13
πόλεμος,13
μικρός,13
δράγμα,13
εἰρήνη,13
βαθύς,12
τέλος,12
τέχνη,12
τέταρτος,12
μυρίος,12
μέσος,12
ἕνεκα,12
πολλάκις,12
αἰσθητός,12
μέχρι,12
ἱμάτιον,12
ὄναρ,11
θάλασσα,11
ὁδός,11
ὅρκος,11
Χαρρός,11
χάρις,11
παίδεια,11
φύω,11
τοσοῦτος,11
ἀκοή,11
διανοία,11
υἱός,11
τέλειος,11
φρόνησις,11
μηδέ,11
δόγμα,11
χράομαι,11
καιρός,11
ἱερόν,11
ἀμείνων,11
εἰκότως,11
φίλος,11
ὀρθός,11
ἀληθής,11
ἀφροσύνη,11
μέλλω,10
δίδωμι,10
ἐχθρός,10
ἄρχω,10
στήλη,10
αἰών,10
σελήνη,10
οἰκεῖος,10
φωνή,10
στόμα,10
ἅγιος,10
παράπαν,10
ἀκούω,10
ἀμφότερος,10
γιγνώσκω,10
ἀβραά,10
εἰκών,10
δημιουργός,10
ἐναντίος,10
ἄλογος,10
ἄκρα,10
λογισμός,10
δέω,10
φάσκω,10
ἄμπελος,10
σπουδή,9
λίαν,9
πηγή,9
πέλαγος,9
ὀφθαλμός,9
τάξις,9
ἄφθαρτος,9
νομίζω,9
μάλιστα,9
σκοπέω,9
δυνάμενος,9
καρπός,9
συγγενής,9
πῶς,9
εἶτα,9
δύεις,9
μεθός,9
δύο,9
ἄγω,9
τιμάω,9
δυνατός,9
δίκαιος,9
ἔθος,9
λογικός,9
ἀθάνατος,9
παγίος,9
ἀνθρώπειος,9
χρησμός,9
ἀστεῖος,9
χρή,9
χεῖλος,9
κλίμακος,8
ἰδού,8
λίθος,8
φρέαρ,8
διάνοια,8
σαφής,8
συμβαίνω,8
μοῖρα,8
ἐρῶ,8
ἀστήρ,8
σύνολος,8
πνεῦμα,8
αἰτία,8
λαγχάνω,8
μουσικός,8
τελειός,8
ἄνευ,8
Ἰάκαψ,8
οἰκία,8
ἐκεῖ,8
δηλόω,8
μακράν,8
φώς,8
πρέσβυς,8
ἀγένητος,8
ὑπός,8
ὅσπερ,8
διανοῖος,8
μηδός,8
πλήρης,8
ἐνύπνιος,8
πλοῦτος,8
κράτος,8
εὖ,8
ἅτε,8
„ᾤμην,8
θερισμός,8
εὐφροσύνω,8
λέγων,7
ἀναβαίνω,7
ἴσης,7
σός,7
ἐλεύθερος,7
εὑρίσκω,7
ὅρος,7
Ἰσαά,7
εἰσάπαξ,7
βαρύς,7
καί,7
πάντῃ,7
ἰδύς,7
ἔξωθεν,7
αἴτιος,7
διαφέρω,7
γένης,7
ζωῦς,7
ἄσωμα,7
ἱερεῖς,7
ζάω,7
μερός,7
ὀλίγος,7
φαίνω,7
ὄψις,7
καλοκἀγαθία,7
ὑύς,7
ἐλπίς,7
ἀντί,7
ἀνθρώπινος,7
ἱερεύς,7
οὐράνιος,7
ἀρετός,7
αὐγή,7
φθορά,7
πατῶς,7
(Num,7
νύνε,7
εὐδαίμων,7
„ἐν,7
ὠφέλεια,7
κτῆμα,7
εὐχή,7
ὁρμή,7
θέα,7
12),7
μανθάνω,7
δῶρον,7
Φαραός,7
σταφυλή,7
καταλαμβάνω,6
φρέας,6
Χαρράς,6
δύω,6
αὐτίκα,6
μακρός,6
φόβος,6
ἵμερος,6
πρίν,6
ἀκατάληπτος,6
θάτερος,6
πάντως,6
πούς,6
ζωή,6
κινήσιος,6
πῦρ,6
γνήσιος,6
ὁργανός,6
διότι,6
ὕμνος,6
ἔρως,6
παῖς,6
ἐμφαίνετα,6
νομοθέτης,6
διανός,6
δικαιοσύνη,6
πρός,6
φρονέω,6
ἀκριβῶς,6
ἀκόλουθος,6
ἀσώματος,6
θυσία,6
ὅμοιος,6
ἀξιόω,6
ἰσχύς,6
ῥώμη,6
ἐξομοιός,6
27),6
μου“,6
Φαραώ,6
συμβολικός,6
κενός,6
ἔμπαλιν,6
ὀργός,6
ἀδίκημα,6
ὑπολαμβάνω,6
εἴτε,6
νέος,6
πάρειμι,6
ἀσκητικός,6
γέμων,6
ζώς,6
ὄντως,6
δῆλος,6
ἄρχων,6
ἴσος,6
κλῆρος,6
ἐμός,6
14),6
ἐκτός,6
ῥαντός,6
εὐσέβεια,6
μέτρον,6
ἀρχιερεύς,6
ἐπίβουλος,6
„ἐγώ,6
χωρίς,6
ἐπίγραμμα,6
στάσις,6
τῦφος,6
ἑπτά,6
ἡμέτερος,5
οἰκεῖον,5
εἴδος,5
σημαινόμενος,5
κλῖμαξ,5
ἀφικνέομαι,5
ταὐτός,5
ἀμήχανος,5
πλείων,5
ἀλήθειος,5
παλαιός,5
τετταρός,5
ἐν,5
ἀξίων,5
ὄγκος,5
αἴσθησις,5
κάτω,5
αἷμα,5
ἀριθμός,5
ποτός,5
τέλεια,5
ἀρχέτυπον,5
οἶμαι,5
νοητός,5
Λάβας,5
ξένος,5
φιλάρετος,5
παρός,5
Θάρρα,5
κατάσκοπος,5
μήπω,5
ἐραστής,5
ψυχός,5
ἅρμος,5
χράτος,5
εὐδαιμονία,5
σύμπας,5
μαρτυρέω,5
λόγιον,5
ἱκανός,5
μηδέποτος,5
ἀκίνητος,5
παύω,5
ἑκούσιος,5
χαρά,5
λαός,5
ἄρατος,5
ἐπίφερος,5
ἀόρατος,5
ἀρχέτυπος,5
ἀνά,5
εἴρω,5
