lemma,count
κόσμος,112
πᾶς,66
φύσις,48
πῦρ,47
γίγνομαι,46
θεός,34
φημί,34
ὕδωρ,33
χρόνος,30
φθορά,29
ἄνθρωπος,27
ὅσος,26
ἀήρ,26
μέρος,25
ὅλος,24
λέγω,24
μόνος,24
λόγος,23
ἕκαστος,23
τρόπος,22
ἕτερος,21
μέγας,21
ἐκεῖνος,21
ἔχω,20
πολύς,20
ἄφθαρτος,19
δύναμις,18
ἅπας,18
ψυχή,17
σπέρμα,17
ἀίδιος,16
παρύ,15
ἀρχή,15
ἀνάγκη,15
πρῶτος,14
μεταβολή,14
γένης,14
γενέσις,13
πάλιν,13
σῶμα,13
ἀναγκαῖος,12
ὥσπερ,12
στοιχεῖος,12
ἀγένητος,12
πρότερος,12
αἴτιος,12
μέρας,12
τόπος,12
ἐκτός,12
τέλειος,12
φλόξ,12
τροφή,12
αὐγή,12
ἀεί,11
καθός,11
φθείρετος,11
γενητός,11
θάνατος,11
λαμβάνω,11
ζωῦς,10
δοκέω,10
ἀμήχανος,10
τοσοῦτος,10
τοιοῦτος,10
ἔοικα,10
κατός,10
τοίνυν,9
οὐρανός,9
ἕνεκα,9
κινήσιος,9
νῦν,9
παλιγγενεσία,9
γένος,9
ὑπονοή,9
ἐνιαυτός,9
οἰκεῖος,9
μᾶλλον,9
δῆλος,9
τέχνη,9
πούς,9
ἀλήθεια,8
ἑκάτερος,8
αἰτία,8
ἐκπύρωσις,8
μέντοι,8
χείρων,8
φθαρτός,8
ἐκπύρων,8
ἀγήραος,8
πάντως,8
τάξις,8
χώρα,8
διότι,7
αἰσθητός,7
νύνε,7
ἐπός,7
ἄχρι,7
μακρός,7
περίοδος,7
ἐναντίος,7
ἥλιος,7
Πλάτων,7
δεσμός,7
ἐρῶ,7
μάλιστα,7
ὑύς,7
νόσος,7
μερός,7
σκοπέω,7
ἄνω,7
ἴδιος,7
φθείρομενος,7
διό,7
μένω,7
αὐτίκα,7
εἰ,7
εἶπον,7
ἄξιος,6
νόος,6
δόγμα,6
χρή,6
κἀν,6
ὄνομα,6
ἵνα,6
Στωικός,6
παντελής,6
πάλαι,6
ἔνιοι,6
ᾗ,6
ἔργον,6
εὖ,6
ἀθάνατος,6
μοῖρα,6
παλαιός,6
νομίζω,6
ἔπειτα,6
ἡμέρα,6
γοῦν,6
ἔξωθεν,6
ἀδύνατος,6
ὅσπερ,6
ζῷον,6
ζώιον,6
ὑπός,6
δεῖ,6
ἡνίκα,6
ποτέ,6
μηδέ,6
ἤδη,6
φλογός,6
θάλας,6
ἐπιστήμη,5
ἀναίρεσις,5
δέχομαι,5
διακόσμησις,5
σύγχυσις,5
δύναμαι,5
δημιουργός,5
τελειός,5
ἄρχω,5
νύξ,5
ὁμοῖος,5
ἄνοσος,5
φύω,5
τελευτάω,5
τετταρός,5
τοὐναντίος,5
γεώδης,5
βία,5
ἀταξία,5
ἄριστος,5
ἀμείνων,5
δένδρα,5
μυρίος,5
μέλλω,5
πῶς,5
Ζεύς,5
δύο,5
ἐλάσσων,5
φθείρεσθα,5
πίστις,5
δίχα,5
ὥστ’,5
ἄίδιος,5
ἀκοσμία,5
νέος,5
αὔξησις,5
ἀνήρ,5
συμβαίνω,5
λογικός,5
ἀθρόος,5
καλέω,4
νοητός,4
ἡγεμών,4
ἴσως,4
φυτός,4
διαστημός,4
τραγικός,4
μορφή,4
ὕστερος,4
μηκέτι,4
οὐδέποτε,4
δεινός,4
σελήνη,4
βίαιος,4
πνεῦμα,4
κατασκευάζω,4
πατήρ,4
καλός,4
ἀληθής,4
δίαλυσις,4
ποιέω,4
ἐντός,4
πόλις,4
τελευτή,4
ὑπό,4
γῆρας,4
κενός,4
ἔξω,4
ἀφθαρσία,4
φυσικός,4
ἀκολουθία,4
οἰκεῖον,4
μεθόριος,4
ἐύς,4
διαμονή,4
γέγων,4
κατασκευή,4
πάθος,4
παράπαν,4
παῖς,4
ἅπαξ,4
χράομαι,4
Θέων,4
ἐλάττων,4
λεκτέον,4
ὁράω,4
βίος,4
ἡλικίος,4
ἀκμή,4
ἀκίνητος,4
εὐθύς,4
βλαστάνης,4
ποταμός,4
φορά,4
μέχρι,4
συνεχής,4
πλεῖστος,4
ὑπάρχω,4
αὖθις,4
μόλις,4
ποιότης,4
ὀρθός,4
ἐπειδάν,4
σβέσις,4
ὀλίγος,4
συνίζουτος,4
ὕψος,4
νῆσος,4
Δῆλος,4
πέλαγος,4
ἀφθαρσίος,3
νόμος,3
τύπος,3
τρίτος,3
γιγνόμενος,3
διακρινόμενος,3
ἀποδείκνυμι,3
δόξα,3
πλήν,3
ἀναλύος,3
Ἀριστοτέλης,3
ἀληθή,3
περιέχοντα,3
Τιμαῖος,3
ὅτε,3
εἴπερ,3
συστήνης,3
βέλτιος,3
ποιητής,3
μαρτυρέω,3
φιλοσόφιος,3
εἶτα,3
ὥρα,3
ζῷος,3
ἤτοι,3
ἁλωτός,3
πάσχω,3
ἀτοπώτατος,3
χράω,3
ἄγω,3
αἰτίς,3
σημεῖον,3
παραπλήσιος,3
ἐδείχθης,3
θερμός,3
φθίνεια,3
γέναμενος,3
τοιόσδε,3
ταχύς,3
ὁπότε,3
φέρω,3
μέσος,3
ἄνως,3
ἀιδιότης,3
κρυμός,3
αὖ,3
ἀνθός,3
ἀντί,3
ἰσχύς,3
ῥώμη,3
πάνυ,3
μεταβάλλεια,3
δέω,3
κρείττων,3
κομιδή,3
πολλάκις,3
μηδός,3
ὥσθω,3
ἀνωμαλίς,3
θνητός,3
φθρρτός,3
δεόντως,3
δήπου,3
χάρις,3
εἰσήγουμος,3
σύμπας,3
θεῖος,3
δαιμόνιος,3
πρόνοια,3
Χρύσιππος,3
ποιός,3
ἀτελέης,3
φάσκω,3
Θέος,3
ἀποκοπεύς,3
ὧδε,3
οὐκοῦν,3
παρέχω,3
οἶκος,3
ἀλλήλων,3
γένεσις,3
μήτηρ,3
ῥῆδιον,3
ὅρος,3
ὁδός,3
μῆκος,3
στοιχέω,3
ἀνάχυσις,3
πεδιάς,3
καρπός,3
μέτριος,3
ὀρός,3
σπορά,3
γυνή,3
βαρύτατος,3
ἀφός,3
βραχύς,3
Πρός,3
ζωή,3
διέστηκος,3
δένδρον,3
σκεδασθάν,3
ἀναλυθεντός,3
ἄνθραξ,3
χέων,3
μήκιστος,3
στελλόμενος,3
μεταβάλλοι,3
ζάω,3
φαίνω,3
συζυγία,3
ἀλλοῖος,3
ὄρα,3
θάλασσα,3
ἱστορία,3
καιρός,3
ἤπειρος,3
λίμνη,3
ἄδηλος,2
πρᾶγμα,2
πόθος,2
πλείων,2
ἀρετή,2
νόσημα,2
οὐράνιος,2
τέρας,2
σημαινόμενος,2
πάρειμι,2
ἀποκρίνω,2
περιφορή,2
αἰνίτομες,2
συνστήξ,2
φθορός,2
ἀνύπαρκτος,2
θνῄσκει,2
εὔηθος,2
ζητούμενος,2
ἐναντία,2
Στώη,2
ἀκάματος,2
συνίστασθα,2
τέχνιτος,2
μήποτος,2
διαφέρω,2
ὁρατός,2
ἀκούω,2
οἰκία,2
ἐξαίσιος,2
ῥᾳθυμία,2
εὑρετος,2
ἐπιγράφω,2
ἀποδείξης,2
ἄλυτος,2
κακός,2
οὔτι,2
μείζων,2
λάχος,2
ἔγγον,2
ἀπό,2
αἰδώς,2
χάος,2
δεξόμενος,2
χύσις,2
Μοῦσος,2
δείκη,2
αἰτίος,2
διττός,2
ἀπώλεια,2
σίδηρος,2
ὁλοκλήρας,2
εἴσω,2
δράω,2
ὑπομένω,2
ἀναιρείσθης,2
εὔρεις,2
δέχος,2
ψυχρός,2
ἕπομαι,2
διάλυσις,2
ἀνώφοιτος,2
βάρος,2
κεφαλή,2
γαῖα,2
φύς,2
αἰθέριος,2
θεσμός,2
ἀμέτοχος,2
λεχθός,2
θεάσωμος,2
ὁτιόν,2
ἵστημι,2
εἴληχος,2
κωρήσσω,2
ἥσσων,2
παττίον,2
ἔνδεια,2
φλογμός,2
εἰώθος,2
ὑγιεῖος,2
σωτηρία,2
ἁπαξάπας,2
ἐπικρατός,2
οἶδα,2
ἀνεξέλεγκτος,2
κοσμοποιής,2
νόσημος,2
δεύτερος,2
βραχεία,2
δημιουργής,2
θαυμαστός,2
νήπιος,2
αἰγιαλός,2
γεωλόφος,2
θέμις,2
ἴσος,2
εὔλογος,2
φθείρομες,2
ἀπόλλυμι,2
φθαράσετα,2
φθαράσοντα,2
λοιπός,2
πλάνη,2
ἀστήρ,2
εὐδαίμων,2
ἀθανασία,2
ἀληθός,2
ἐπιφέρω,2
ὁλόκληρος,2
δίων,2
κάπειμαι,2
Δίων,2
φθείρω,2
ὑπόκειμαι,2
δείκνυμι,2
ὡσανεί,2
ἀφαιρεθής,2
ἔκθεσμος,2
ὑπάρχουσος,2
μείς,2
ἀποδεδός,2
ὑγίς,2
ἄναρχος,2
ὑφεστάνης,2
ἀίδιον,2
τάχα,2
γενναῖος,2
ὀνομάσαιος,2
Κριτόλαος,2
ἐμφήνη,2
μέτρον,2
ὀφθαλμός,2
γνήσιος,2
Σπαρτός,2
ἐκφύνα,2
ἔνοπλος,2
μῦθος,2
συνιδής,2
ἀριθμός,2
βαθμός,2
ἀναβαίνης,2
νεότης,2
γνώμη,2
εἰκότως,2
βρέφος,2
μείωσις,2
γήρως,2
συνίσταμαι,2
τέταρτος,2
διατελής,2
ἀδιάστατος,2
ὄμβρος,2
κάματος,2
ἄφθονος,2
ἀναδιδός,2
μεμοίρατος,2
ἔαρ,2
πυρός,2
σπαρτός,2
γεωργός,2
περιμηκέστατα,2
ἄγριος,2
ὕλη,2
τίκτω,2
χερσαῖος,2
κύων,2
πού,2
πιέζοντα,2
εὐήθεια,2
μήτρα,2
ὑπολαμβάνεια,2
χωρίον,2
οἰκουμένη,2
δωρασαμένης,2
διαδοχός,2
ἄρουρα,2
ὑγιαίνης,2
ὀψέ,2
ἐπίδοσις,2
ἄλογος,2
ἑρατός,2
κηρός,2
τριττός,2
ἀσθένεια,2
γωράτος,2
ἀτελεύτητος,2
ἕνων,2
λίθος,2
Βοηθός,2
ἀναιρέω,2
διαλύσιος,2
τρεῖς,2
διαίρη,2
ἐπέχος,2
συνάπτομενος,2
παγέν,2
ποῖος,2
διαλυθήνης,2
αἱρούμενος,2
δεισός,2
συλλήβδη,2
ἐξαναλόθειος,2
οὐκερός,2
κατηγορέω,2
ἔξειος,2
πνευματικός,2
πέρατος,2
συνεργός,2
ἄνθρακος,2
ἀφαρημένος,2
ἀποτελείσθης,2
ὑπόστα,2
ῥέω,2
ἀφανίζετα,2
ἄνευ,2
σβέννυτα,2
μήκετος,2
συνύπαρχος,2
τροφεύς,2
μειόοι,2
δαπανηθής,2
βούλομαι,2
εἴτε,2
φθαρός,2
ἅμα,2
ἄλλως,2
γένη,2
γόνιμος,2
ὑγρός,2
ὄγκος,2
μικρός,2
ἐφέξ,2
βραχύτερος,2
ἔμπαλιν,2
στέλλετος,2
συμπάση,2
πυκνός,2
κοινός,2
πράγμα,2
μή,2
ὁμοιότροπος,2
κοῦφος,2
βαρύς,2
κατακρατήτης,2
ὑπερβάλλουσα,2
ἰσονομία,2
ἀντέκτισις,2
κανός,2
ἀθανατίζετος,2
ἄδικος,2
κακία,2
μέγεθος,2
χρῶντος,2
μονάς,2
τριάς,2
ἰσοκρατή,2
πλεονεκτός,2
ἀνωμαλίος,2
πόντος,2
θυγάτηρ,2
χθών,2
πελαγός,2
ἄνεμος,2
τύχη,2
ἐξασθενής,2
τεῖχος,2
ἰσηλικόν,2
εἶδον,2
ἀνηβή,2
εἴρω,2
ἀντίπαλος,2
ὑετός,2
πορθμός,2
Σικελία,2
παρειλήφημος,2
σπουδαίος,1
ἀγαθός,1
γεννητής,1
ἀκριβέστατος,1
εἰλαχός,1
ἀναγκαιότης,1
παντελέστερος,1
τελειτερός,1
αἰσθήσης,1
ὑπήκη,1
ἐπίστατος,1
φιλοπευστές,1
ἐμπέφυκα,1
ἐνασκήθεντα,1
φρόνησις,1
σωφροσύνω,1
ἀπερρυψάμεθα,1
πατῶς,1
κηλίς,1
ἀπηξίων,1
ἄκρως,1
κεκαθαρμένης,1
φαιδρυναμέμης,1
αὐγοειδός,1
ὄνειρος,1
χρησμός,1
σημεῖος,1
ὑφηγέισθης,1
ἀφροσύνη,1
ἀδικία,1
κακιός,1
ἀναμάξ,1
[στοχασμοὺς,1
δυσέκπλυτος,1
ἀγαπός,1
εἰκός,1
στοχασμός,1
μίμημ,1
ἀνεύρισκος,1
ζητόεις,1
„φθορὰ“,1
„κόσμος,1
πολλαχός,1
ἐρευνής,1
τακτάκται,1
διάγνωμος,1
δηλοῦτος,1
καταριθμητής,1
διδασκαλίος,1
χρήσιμος,1
[πρῶτον,1
σύστημος,1
ἄστρων,1
περιοχή,1
ἀπιδός,1
