lemma,count
θεός,69
πᾶς,64
ψυχή,50
ἄνθρωπος,44
ἑαυτοῦ,37
λόγος,32
μόνος,32
γίγνομαι,28
ἔχω,27
ὥσπερ,26
φημί,24
χάρις,24
ἀγαθός,23
μέγας,21
φύσις,20
ὁδός,20
ἅπας,19
ποιέω,19
ἐκεῖνος,18
λέγω,18
δύναμις,17
πολύς,17
θεῖος,15
ἐπός,15
εἶπον,14
σῶμα,14
ἕτερος,14
παρύ,13
ἔργον,13
πατήρ,13
ἵνα,13
ὅταν,12
θνητός,12
γένος,12
πρότερος,12
οὐρανός,12
κόσμος,12
χρόνος,12
ἀρετή,11
γνώμη,11
καλός,11
ὅλος,11
νόος,11
δύναμαι,11
τοιοῦτος,11
χράω,10
ἕκαστος,10
γενέσις,10
ἐναντίος,10
εἶδον,10
δοκέω,10
ἄξιος,9
σοφία,9
τρόπος,9
καλέω,9
βίος,9
μέλλω,9
ἀνάγκη,9
ἔοικα,9
εὑρίσκω,9
κύριος,9
ἱερεύς,9
πνεῦμα,8
ὁράω,8
ἐρῶ,8
τέλειος,8
νόμος,8
ἴδιος,8
ἄριστος,8
ὀρθός,8
ἐπιστήμη,8
πρᾶγμα,8
φυτός,8
πάθος,8
ἑκούσιος,8
δεξιός,8
οἰκία,8
ἕως,7
πρῶτος,7
καθός,7
ἀκάθαρτος,7
ὅσπερ,7
ἡδονή,7
καθαρός,7
υἱός,7
ἀκούσιος,7
δίδωμι,7
Νόος,7
ἄκρα,7
λέπρα,7
βασιλικός,7
οἰκεῖος,6
κακία,6
λαμβάνω,6
κακός,6
νομίζω,6
χείρ,6
ἕνεκα,6
τιμή,6
ἔθος,6
γυνή,6
ἡμέρα,6
νομοθέτης,6
ἄφθαρτος,6
χράτος,6
φίλος,6
πολλάκις,6
ἄχρι,6
ἀεί,6
δίκη,6
ἄκρος,6
πάλιν,6
τροπή,6
ὄνομα,6
ὄψις,6
φώς,6
εἶδος,6
Μουσός,6
ἁμαρτημάς,6
θησαυρός,6
λάκκος,6
ὄρος,6
ἄγγελος,5
προερέω,5
μέχρι,5
λογισμός,5
βασιλεύς,5
ὑπερβολή,5
παλαιός,5
ἄνευ,5
τέκνον,5
σφόδρα,5
φέρω,5
συμβαίνης,5
γοῦν,5
παύω,5
πρᾶξις,5
ζάω,5
σύμπας,5
πρόσωπος,5
ἀμείνων,5
τέλος,5
βραχύς,5
πράγμα,5
φύω,5
ἀλήθεια,5
αὖθις,5
ἅτε,5
χράομαι,5
μέσος,5
δέω,5
φαίνω,5
δέχομαι,5
δίκαιος,5
χείρων,5
θυμός,5
δύο,5
χωρίς,5
νόσος,5
βούλομαι,5
ἀήρ,5
εὐχή,5
πόλις,5
συνεχής,5
ἀνήρ,5
εδών,5
αἰών,4
φρόνησις,4
αὐγή,4
διανοία,4
φάος,4
ἑταῖρος,4
γεννός,4
γνήσιος,4
ἀναγκαῖος,4
ἅρμος,4
γένης,4
τάξις,4
ὑύς,4
ἄψυχος,4
τίκτω,4
ὄντως,4
ὀφθαλμός,4
θάνατος,4
σπέρμα,4
εὐσέβεια,4
δόγμα,4
δεῖ,4
διενοήθης,4
ἴσως,4
δημιουργός,4
ἀρετός,4
εὐδαιμονία,4
κράτος,4
μένω,4
ἐχθρός,4
ἐπίτροπος,4
ἀφός,4
τρέφω,4
βαθύς,4
καρπός,4
χώρα,4
αἰσθήσης,4
ὁρμή,4
ζῷον,4
παρός,4
εἰκότως,4
μοῖρα,4
τυγχάνω,4
νῦν,4
ἄδικος,4
αἴτιον,4
ἀγένητος,4
πῦρ,4
οἶδα,4
πατῶς,4
εἴρω,4
ἔλεος,4
πούς,4
ἄκρατος,4
ἐναντίον,4
μηδός,4
πόνος,4
οἰκίον,4
οὐράνιος,4
σύμβολος,4
ὑπός,4
εὐαρεστής,4
ὑγιαίνος,4
ἔλεγχος,4
προφήτης,4
σάρξ,4
ἔθνος,4
θυγάτερος,3
οὐκοῦν,3
σάρκος,3
σοφός,3
ἔξω,3
σκότος,3
ἀρετής,3
διανοῖος,3
ἀξιόω,3
ἔγκυμος,3
Μωύσεος,3
ἀδίκημα,3
ἱερόν,3
ἑπτά,3
μήτηρ,3
μόνα,3
ἀριθμός,3
ἁρμόνιος,3
παράπαν,3
μυρίος,3
πλῆθος,3
πλεῖστος,3
φωνή,3
ἀσθένεια,3
ἔνιοι,3
παντελής,3
παῖς,3
κοινός,3
ἀθρόος,3
περιμάχητος,3
τοιγάρτος,3
ἡγεμών,3
ἀκόλουθα,3
ὀξύς,3
χρῆσις,3
τελειτατος,3
ὅστις,3
μεταβολή,3
ἀρχή,3
ἐάω,3
πρέσβυς,3
ἀκόλουθος,3
ἄρχω,3
ἀφικνέομαι,3
τροφή,3
τεκμήριον,3
αὖ,3
τέως,3
ἐξαίφνης,3
χρή,3
μεταβολής,3
ἰσχύς,3
τροφός,3
φαντασία,3
ζωῦς,3
πού,3
δηλόω,3
ἀκοή,3
χαρακτήρ,3
ἀντίπαλος,3
γέρας,3
λαγχάνω,3
ἔθω,3
ἡγεμονικός,3
κτῆμα,3
δεσπότης,3
κατορθός,3
ἑκάτερος,3
μάλιστα,3
κατός,3
τοῦτος,3
αἰσχρός,3
ἑξῆς,3
θυμώμωθος,3
ὀργή,3
μέρας,3
σύνολος,3
ἥσσων,3
„οὐχ,3
ἀλήθειος,3
πλειόνων,3
ὑγεία,3
χρώμενος,3
ἀποκρίνετα,3
ἀνυπαίτιος,3
ἰατρός,3
θεραπείος,3
ἄφρων,3
ἀπειλή,3
φόβος,3
αἴτιος,3
μέρος,3
τιμάω,3
„Νῶε,3
ὑπαίτιος,3
τέλεια,3
εἰσάπαξ,3
φθείρω,3
ἄπταιστος,3
εἰδικός,3
ἥλιος,3
τέρμα,3
(ibid,3
καί,3
πλήρεις,3
ἀμπελών,3
11),3
μᾶλλον,3
μικρός,3
εἰ,3
νόθος,3
ἐπιτήδευμα,3
ἀληθής,3
ὕδωρ,3
εὐθύς,3
νύνε,3
„ἐὰν,3
(Lev,3
ἀληθή,3
εἰσέρχομαι,3
χήρα,3
ὀλύμπιος,3
καταφθείρω,3
σίρξ,3
γαῖνος,3
διελεύσος,3
πόλεμος,3
ὕδα,3
πρός,3
παρελθή,3
βαρύτατος,2
ἄχθος,2
γεννήματος,2
συγγενής,2
ἀνάρμοστος,2
μανθάνω,2
ἐθέλω,2
Ἀβραός,2
ἐναργήστατος,2
ἐπίκλησις,2
βαῖνος,2
ἅπαξ,2
γιγνώσκω,2
διάδοχος,2
ἑρμηνεύς,2
γονή,2
Σαμουήλ,2
τάσσω,2
κρίνους,2
δοτός,2
ἴσος,2
ὥστ’,2
μτός,2
ἱερώθατος,2
προσφέρω,2
εὐποράσης,2
δυνατός,2
κελεύω,2
εὐεργεσία,2
ἐν,2
βαδίζεις,2
εὔχομαι,2
λίθος,2
ξύλον,2
ὅμως,2
χράσαμενος,2
δικαιός,2
μυχός,2
θεοφιλός,2
ἑός,2
λέγος,2
ἑβδομάς,2
φυσίκος,2
συνιός,2
κόντω,2
ἀπένειμος,2
ἆθλος,2
ἰσότιμος,2
χρῶματος,2
ἔγγος,2
Αὐνά,2
λογικός,2
φθορά,2
προσηκόντως,2
σωτηρία,2
πατρίς,2
φυλακεύς,2
βαιόιιται,2
ἁγιστεία,2
πονηρός,2
νομίζος,2
ἀσέβεια,2
αἰτία,2
σύμπη,2
διαφθείρω,2
παγίος,2
ἐφίεις,2
θαυμάσιος,2
φθόγγος,2
ἐμμελής,2
ἀρχέτυπον,2
σφοδρός,2
αἰφνίδιος,2
αὔρα,2
εὐδία,2
εἶτ’,2
ἐκτός,2
προσελθός,2
ὅμοιος,2
ἀμήχανος,2
καθαρά,2
καθορά,2
πρόνοια,2
οἰκεία,2
τέχνιτος,2
ἐπιστήμων,2
νεότερος,2
αἰσθήτης,2
ἀνέχω,2
πέρας,2
παράδειγμα,2
„ἐνεθυμήθη,2
ἔννοια,2
βεβαιός,2
ποιητής,2
συμφυία,2
δεσμός,2
εἰργάζετος,2
λαμπρός,2
ἐπιδείκνυμι,2
χαμαίζηλος,2
πέταλον,2
γεωπόνος,2
στόμιος,2
εἴσω,2
ὕπνος,2
γέναμενος,2
διά,2
ἄκρως,2
ὁμοῖος,2
ἀμέτοχος,2
ὅρασις,2
ὀργάνος,2
κηρός,2
μνήμη,2
τύπος,2
τοσοῦτος,2
διάνοια,2
καταλαμβάνης,2
ἐλευθερία,2
ἀξίων,2
ἀνήις,2
ἄφετος,2
ὑπηρεσία,2
οἰκέτης,2
προαιρετική,2
ἐνεργεία,2
ἀδικός,2
ἐπαινετής,2
ψεκτός,2
ἀχάριστος,2
ἀπαραίτητος,2
πάλαι,2
„ὅτι,2
εἰργάσατος,2
ἐλεύθερος,2
χρεία,2
19),2
γεγόνασις,2
δικαστής,2
ἀκούω,2
ἄλογος,2
σωφρονίζειον,2
κυρίος,2
πρόκειμαι,2
ὕστερος,2
εἰσάγετα,2
„ὡς,2
παίδεια,2
νουθεσία,2
ἐνομιλεύς,2
γεγόνοτος,2
ἰδύς,2
μακαριότης,2
ὕπαρξις,2
τίθημι,2
ἀδυνατόω,2
διενοήθησος,2
σύνοδος,2
μερός,2
ἄγω,2
κέχρητος,2
μέρες,2
βάσις,2
δωρεός,2
αἰσθητός,2
ὅπλον,2
ἀγωγή,2
λεωφόρος,2
εὐθεία,2
εὑρισκος,2
οἰκείος,2
κεφάλαιος,2
ἐπανάτασις,2
ψευδής,2
λαλεύς,2
ὑπόμενος,2
εὖ,2
ὑπομένω,2
ἀργαλέωτερα,2
ἀγαπός,2
φοβείσθης,2
νομίζους,2
ζήτησις,2
ὑπογράφεια,2
παράσταξα,2
εὐθύβολος,2
λύπη,2
ὀρθότης,2
διότι,2
πηγή,2
μιμνήσκω,2
σωτήριον,2
διό,2
δίκα,2
πλήρης,2
κεκραμένος,2
ἀμιγεύς,2
ὅπως,2
συγγενέω,2
ἐναντία,2
ἐργάζομαι,2
εὐεργετή,2
εὐφροσύνω,2
ὁμοιός,2
μονός,2
μονάς,2
γυμνός,2
δυάδιος,2
διαφέρω,2
βαρύς,2
πλείων,2
ζητητικός,2
ὑετός,2
ἱκανός,2
κεφαλή,2
ἀπέβαλος,2
„οὐ,2
εὐτύχιον,2
ἀποτυγχάνης,2
ὄμμα,2
δίχα,2
ἐντυχή,2
ἔρχομαι,2
ἀκριβέστατος,2
κατάλη,2
ἐλαιών,2
εὐφροσύνη,2
εὐδαίμων,2
αἰσχύνη,2
ναῦς,2
ὑπόδρομος,2
συνειδός,2
μήποτε,2
ψευδός,2
δεισιδαιμονία,2
ζημίος,2
ὀλιγοχρόνιος,2
βαιός,2
ἆρα,2
δώραρα,2
μόλις,2
νομίσης,2
ἐμός,2
σύγκριμ,2
ἀτιμία,2
δικαστός,2
χῶρος,2
ἀφροσύνη,2
δειλία,2
ἀδικία,2
ἀσεβείος,2
στενάξασος,2
ἀνά,2
σπουδή,2
εἶμι,2
ἱκέτις,2
κατάλογος,2
„αὗται,2
ἵππος,2
λέων,2
ἔγγονα,2
ὅρος,2
γένεσις,2
ταύτῃ,2
Ἰωσή,2
ἀδελφός,2
νέος,2
Βαλλάς,2
Ζελφός,2
Ἰσραός,2
ἀπείρων,2
λεκτέον,2
ἐπειδάν,2
ἀνατείλη,2
χρώς,2
λεπρός,2
15),2
ἐπίφερος,2
ζώς,2
ἔμπαλιν,2
μιάσματος,2
ἀκόλαστος,2
στάλμενα,2
λογίζοσθα,2
ὑπολειφθής,2
πρακτός,2
ἁφή,2
εἶτα,2
πρίν,2
ἔνδον,2
μερίς,2
ἀπειρία,2
γνωρίζους,2
(III,2
ἐρῆμος,2
φθείρων,2
Μαυσός,2
Θάμαρ,2
σωτήρ,2
οἶκος,2
ἀνθρώπινος,2
ἀρχαῖος,2
ἡμαρτῆσθος,2
ἐπιχειρέω,2
ποδηγετός,2
λεωφορέω,2
ἐπιστήμης,2
ἀγρός,2
ἀμπέλων,2
πορευσόμεθα,2
φάσκω,2
ἐξελεύσομαί,2
παρελεύσωμος,2
πῖος,2
κτάνη,2
γνωρίμος,2
βραχεία,2
πλοῦτος,2
ἀπόλαυσις,2
γῆινος,2
δόξα,2
ῥᾳθυμία,2
καταφρονητικός,2
παρέρχος,2
λιβάς,2
καταφυγή,2
εὐώνυμος,2
θράσος,2
ἀνελεύθερος,2
φευκτός,2
ὑψηλός,2
ὁρικός,2
ἄκριτος,2
φορός,2
τύχη,2
Πέρσης,2
εὐπραγία,2
οἰκοῦμενος,2
ῥεῦμα,2
„Καὶ,1
εἰσπορεύος,1
ἔγεννον,1
σκέψασθα,1
„μετ’,1
ἀναφορά,1
δεικνύομα,1
ἐναργής,1
καταμείνης,1
πολυσχιδεῖ,1
πολύμορφος,1
ὄχλος,1
ἀνημμένης,1
δυσεργότατος,1
εἰσία,1
ἐλλάμπος,1
καθαραί,1
ψευδαγγελός,1
ἐπεισέρχετα,1
περιρραντήριον,1
εἴργος,1
ἀμυδρωθής,1
ἐπισκιάζω,1
παρευημερήσης,1
πάθεσις,1
κατεαγός,1
τηθηλυμμένος,1
συνέρχοντα,1
ὁλόκληρος,1
φαύλων,1
ἀγαπητός,1
ἔγγον,1
αὐτομαθός,1
εἰκών,1
ἴσης,1
ἀνάγεις,1
ἀποδίδωμι,1
εὐθυμία,1
χαριστήριος,1
συμποδίς,1
ὡς,1
2,1
καινουργηθής,1
ἱερεῖος,1
ἤτοι,1
ἐπιθειάς,1
ἀνίδρυτος,1
ἄστητος,1
κατεῖδον,1
ἀνενδοίαστος,1
βαβαιότης,1
πεπιστευκέναιος,1
μαθητρός,1
ἄννα,1
δώρημα,1
παραδέχομαι,1
τελεσφόρος,1
ὠδύς,1
τεταγμένος,1
ἀποκυήσασος,1
ἐπεφήμις,1
ἑρμηνεύθεις,1
ἀνταποδίδων,1
δόντιος,1
„δίδωμί,1
28),1
δομέμενος,1
δίδωμις,1
γράμμα,1
δῶρον,1
δόμα,1
καρπῶματος,1
διατηρήσστος,1
εὐχαριστητής,1
πλήν,1
δόθεις,1
χρέος,1
μελετήσας,1
εὐχαριστητικός,1
τιμητικός,1
καθαρεύσωμος,1
ἐκνιψάμενος,1
καταρρυπαίναιν,1
ἐννοία,1
εὔηθος,1
ἐξεῖνος,1
λούσαμες,1
φαιδρύνη,1
θύω,1
ἐπιχειρές,1
κηλιδώμενος,1
πεφυρμένη,1
διανός,1
ὗλις,1
προσάψετα,1
περιρραντήριος,1
καθάρσιος,1
ἑγνευτικός,1
ὑπομενεύς,1
προσελθεῖν,1
καθάρος,1
μετανόησεια,1
ἐπεξεργάσσης,1
ἐκνίψασθα,1
γηθέω,1
πρόσιτος,1
δυσκάθαρτος,1
ἀφίστασθος,1
λήδων,1
οὐδέποτε,1
ἄδυτος,1
ἐμπεριπατός,1
δεῖγμα,1
ᾆσμα,1
περιέχετα,1
„στεῖρα,1
ἠσθένης,1
Σαμουά,1
πῶς,1
τοκενήνης,1
ἐναρέτος,1
κατάς,1
ἑβδομάδης,1
ἀναπαυομένης,1
πονουμένης,1
ἀπόλειψις,1
ἑξάς,1
πρωτύς,1
δυνηθής,1
δευτερέιος,1
μεταποιόμενος,1
στεῖρος,1
ἄγονος,1
στερρά,1
σφρίγων,1
καρτερία,1
ἀνήρεια,1
ὑπομονή,1
κτάομαι,1
διαθλός,1
εὔτοκος,1
εὔπη,1
ἀσθενεύς,1
ἀψευδή,1
ἐναργός,1
ὀδίνη,1
ἀποστάς,1
κάπειμαι,1
ἐξηρτήμενος,1
βαρύνομενα,1
πιέζομα,1
—ἔστι,1
ἠλιτόμηνος,1
ἀμβλωθρίδια,1
ἐξασθενή,1
σχῆμα,1
ἐπιθυμία,1
ὦτος,1
γαστήρ,1
ἐκκεμάμενων,1
παρίετας,1
καθές,1
ἀπόλεγος,1
ἡττάσθης,1
φθαρτός,1
φθρρτός,1
ἧσσα,1
φιλαυτία,1
