lemma,count
πᾶς,52
γίγνομαι,41
ἔχω,31
Φλάκκος,30
πόλις,29
μόνος,26
ἐπός,24
δοκέω,20
Ἰουδαῖος,17
μέγας,17
ἀρχή,16
ἐχθρός,16
πολύς,16
σῶμα,16
κακός,15
μέρος,14
χώρα,14
ἄνθρωπος,14
καθός,14
ἴδιος,14
εὐθύς,14
φύσις,13
ἕκαστος,13
οἰκία,13
μυρίος,12
χρόνος,12
πρῶτος,12
μικρός,12
καθά,12
ἄχρι,12
ἔθος,12
ὥσπερ,11
ἐκεῖνος,11
ὀλίγος,11
ἄρχω,11
ἵνα,11
πλεῖστος,11
πολλάκις,11
Γαῗος,11
ἅμα,11
φημί,11
ἀεί,10
δύναμαι,10
εἶδον,10
Τιβέριος,10
συμφορά,10
μᾶλλον,10
δίκη,10
φίλος,10
ὄνομα,10
Ἰουδαίος,10
ὅπλον,10
δέω,10
λέγω,10
μέσος,10
Αἴγυπτος,9
ψυχή,9
πρᾶγμα,9
ἡγεμών,9
λαμβάνω,9
πράγμα,9
ἀκούω,9
δίδωμι,9
κοινός,9
βασιλεύς,9
ἡμέρα,9
πλῆθος,9
θάνατος,9
εἶπον,8
ἔργον,8
ὄχλος,8
ἀντί,8
πάλιν,8
φόβος,8
πρότερος,8
ἐλπίς,8
λόγος,8
τυγχάνω,8
ποιέω,8
καιρός,8
σύ,8
τρόπος,8
ἀφός,8
βίος,8
νῆσος,8
ἔθνος,7
ἐπιβουλή,7
Ἀλεξανδρεία,7
στρατιώτης,7
ἁρπαγή,7
Καίσαρος,7
Γάιος,7
μέχρι,7
κελεύω,7
κατός,7
μάλιστα,7
ὑπός,7
ὁπότε,7
χράω,7
ἕνεκα,7
Σεβαστός,7
δεσπότης,7
μέλλω,7
βούλομαι,7
ὁδός,7
τιμή,7
πίστις,7
προσευχός,7
οἶδα,7
ἔρχομαι,7
δίκαιος,7
ἀγορά,7
ποτέ,7
παρύ,7
οὐσία,7
ἀφορμή,6
ἀνήκεστος,6
πλείων,6
χάρις,6
ἔξω,6
εἰρήνη,6
μακρός,6
αὐτοκράτωρ,6
οἰκεῖος,6
ὁράω,6
γνώμη,6
