,lemma,count
48,God,453
0,And,330
39,thing,326
16,say,314
79,For,278
285,soul,273
256,man,271
23,one,265
9,mind,264
69,But,218
114,also,216
424,virtue,167
11,Moses,159
412,shall,143
634,good,143
1123,pleasure,142
1137,passion,136
137,I,119
1754,outward,116
90,part,105
391,reason,101
10,sense,100
82,therefore,100
109,body,96
174,account,96
268,power,95
45,sens,93
232,place,93
28,nature,92
110,according,89
190,upon,87
617,may,86
51,made,80
76,said,72
692,u,72
173,On,71
61,time,71
71,must,70
496,name,70
44,external,70
501,mean,68
440,word,66
58,created,66
376,without,65
898,see,65
95,two,64
476,forth,63
328,every,62
53,would,61
221,cause,59
811,evil,58
2,earth,58
68,make,58
843,Lord,58
107,like,57
225,men,56
497,object,56
633,give,55
20,sensation,54
382,kind,53
635,even,52
88,first,51
333,woman,50
1940,serpent,50
86,perfect,49
241,manner,49
1273,thou,49
668,action,48
929,namely,48
1006,become,47
281,called,47
308,belly,47
36,The,47
417,alone,47
514,truth,46
405,another,45
419,life,45
842,tree,44
47,day,43
161,expression,43
85,take,43
272,able,43
1996,thy,43
27,since,42
552,whole,42
379,Now,41
117,animal,41
26,call,39
422,case,39
282,many,38
858,vice,38
307,hand,38
84,number,37
50,work,37
55,great,37
300,In,36
1391,eat,36
22,idea,36
42,everything,35
784,might,35
64,motion,35
40,perceptible,35
30,intellect,35
284,irrational,34
175,He,34
905,away,34
681,wisdom,34
188,way,34
60,indeed,34
580,order,33
1427,wicked,33
1045,prudence,33
437,put,33
803,nothing,33
1213,death,32
520,subject,32
265,second,32
1237,house,32
691,let,31
1102,interpreted,31
182,knowledge,31
1,heaven,30
1002,Jacob,30
435,This,30
848,found,30
1386,Adam,30
896,opinion,30
423,thus,30
70,portion,30
386,reference,29
521,labour,29
1921,father,29
24,speaking,29
541,different,29
1510,wise,29
1046,temperance,28
146,divine,28
908,present,28
3,world,28
193,come,28
775,Paradise,28
532,proper,28
528,sight,27
74,Therefore,27
263,master,27
1535,child,27
578,towards,27
559,living,26
147,never,26
1024,go,26
781,plant,26
723,’,26
2193,thee,26
534,act,26
415,natural,26
799,respect,26
380,meaning,25
472,command,25
622,worthy,25
1838,state,25
654,river,25
103,image,25
492,gave,25
581,appetite,25
125,right,24
1018,person,24
854,O,24
738,bear,24
629,speaks,24
172,anything,24
257,reasoning,24
389,character,24
101,exists,24
1331,necessary,24
664,people,24
1287,disposition,23
1387,saying,23
700,quality,23
1283,son,23
19,particular,23
17,neither,23
1858,seed,23
1731,naked,23
179,still,23
706,What,23
1138,find,23
1256,given,23
216,always,22
553,energy,22
1486,habit,22
131,mortal,22
150,something,22
228,Again,22
841,You,22
392,holy,22
208,form,22
1274,shalt,22
449,done,22
57,think,22
128,desire,22
249,taken,21
448,rather,21
850,though,21
177,art,21
463,field,21
1243,receive,21
999,bad,21
98,three,21
378,Accordingly,21
81,When,21
366,sound,21
52,It,21
612,yet,21
186,beginning,21
1635,city,21
714,could,20
988,whether,20
264,faculty,20
653,land,20
2858,breast,20
237,accordance,20
244,know,20
369,either,20
866,ought,20
777,ever,20
217,likewise,20
399,light,20
1916,love,20
1212,flesh,20
1175,fall,20
795,full,20
619,thought,19
1947,concealed,19
1633,language,19
311,face,19
511,food,19
710,Why,19
1672,inasmuch,19
460,universe,19
454,add,19
15,brought,19
865,bring,19
139,seven,19
1000,fact,19
3177,anger,19
2307,slave,19
555,water,18
185,end,18
529,hearing,18
6,previously,18
230,change,18
104,matter,18
1377,well,18
1617,pain,18
883,law,18
152,fire,18
790,Let,18
894,free,18
642,sufficient,18
572,comprehension,18
727,placed,18
977,king,18
820,joy,18
142,creature,17
130,race,17
1220,unto,17
8,creation,17
610,consider,17
1994,Abraham,17
432,else,17
673,sin,17
163,rest,17
886,gold,17
1383,instead,17
1913,wife,17
92,third,17
351,principle,17
1017,often,17
2265,escape,17
14,perfection,17
187,instance,17
485,existing,17
119,capable,16
1133,beast,16
2232,lover,16
685,whatever,16
12,proceeds,16
1009,operation,16
1348,seek,16
1288,inclined,16
602,earthly,16
688,equivalent,16
493,impression,16
911,took,16
133,being,16
994,As,16
1201,foolish,16
77,existence,16
1810,becomes,16
539,need,16
752,derived,16
1035,stone,16
21,received,16
1773,destitute,16
169,others,15
646,possible,15
359,voice,15
398,formed,15
127,event,15
224,among,15
1347,necessity,15
2262,flee,15
897,Do,15
341,excellent,15
1393,die,15
1606,guide,15
711,except,15
1516,wickedness,15
813,assistant,15
523,unable,15
1562,passage,14
83,understand,14
354,especially,14
1285,Because,14
1555,dead,14
665,We,14
531,taste,14
170,reality,14
409,If,14
121,forward,14
1625,offspring,14
1679,attribute,14
744,strength,14
135,appropriate,14
658,goodness,14
1294,Isaac,14
330,disease,14
1178,endowed,14
197,destruction,14
199,true,14
937,virtuous,14
631,question,14
32,corporeal,14
1159,better,14
1028,four,14
971,symbol,13
192,year,13
597,breathed,13
613,spirit,13
1023,worse,13
1636,turn,13
677,ignorance,13
129,show,13
426,really,13
433,Creator,13
1834,grace,13
1010,moment,13
741,used,13
1718,rib,13
1015,country,13
569,far,13
395,appears,13
1458,nourished,13
1047,courage,13
43,short,13
401,immediately,13
1609,smell,13
1115,war,13
833,husband,13
822,set,13
467,rain,13
1135,spoken,13
989,within,13
2286,horse,13
1050,already,13
701,use,13
149,making,12
248,live,12
733,god,12
670,real,12
239,At,12
2189,led,12
1363,judge,12
1309,drink,12
928,cast,12
143,seventh,12
1048,justice,12
2157,gift,12
477,fruit,12
428,contrary,12
215,course,12
605,essence,12
202,wholly,12
849,suffering,12
475,brings,12
2777,hast,12
134,exist,12
1999,Egypt,12
1250,Judah,12
118,naturally,12
1751,gone,12
730,inferior,12
1482,honour,12
583,point,12
1170,hold,12
1955,testimony,12
573,So,12
662,beyond,12
1200,folly,12
868,together,12
1032,There,12
195,generation,12
762,nevertheless,12
1843,Israel,12
1891,recollection,12
157,much,12
196,destroyed,12
189,look,12
593,comprehend,12
309,foot,12
1258,Leah,11
599,became,11
545,substance,11
679,respecting,11
1823,changed,11
1169,charioteer,11
716,human,11
912,guard,11
2040,conceal,11
3627,blessing,11
115,akin,11
1860,visible,11
1390,freely,11
288,organ,11
771,conversant,11
1190,seen,11
524,unless,11
2950,bread,11
253,womb,11
508,That,11
818,peace,11
1333,opposite,11
1188,fond,11
764,certain,11
126,left,11
151,property,11
420,conduct,11
390,following,11
162,caused,11
304,head,11
1214,Aaron,11
1455,follows,11
2484,wash,11
314,eye,11
1965,high,11
1583,younger,10
78,consequence,10
809,seeing,10
3018,oracle,10
1408,giving,10
1199,destroy,10
699,peculiar,10
888,distinctive,10
1653,superfluous,10
1166,impetuosity,10
2598,Joseph,10
1864,affected,10
2172,Sarah,10
995,How,10
1305,hear,10
1369,due,10
1964,witness,10
562,middle,10
1456,single,10
246,born,10
1522,almost,10
1020,sacred,10
518,philosophy,10
430,shown,10
548,fountain,10
1142,rational,10
869,separate,10
1005,borne,10
1445,happiness,10
365,long,10
439,speak,10
377,mother,10
400,truly,10
1694,sake,10
317,mouth,10
1414,recommendation,10
468,cultivate,10
1261,shoulder,10
983,doctrine,10
1435,Very,9
601,heavenly,9
567,advantage,9
59,six,9
640,rich,9
647,sea,9
1444,sent,9
621,devoted,9
1490,judgment,9
683,absolutely,9
1532,indulgence,9
1301,came,9
587,brother,9
1349,content,9
1479,Thou,9
530,flavour,9
1529,deprived,9
527,colour,9
3062,shadow,9
2882,Er,9
1483,parent,9
25,symbolically,9
1392,ye,9
1428,instruction,9
1687,τί,9
1542,especial,9
1953,tabernacle,9
1739,bone,9
932,memory,9
1986,behold,9
713,notion,9
461,green,9
1003,confession,9
1634,enemy,9
1897,influence,9
729,dominant,9
427,rise,9
1980,nakedness,9
1244,properly,9
3236,angry,9
732,share,9
737,paradise,9
1717,sleep,9
1180,bringing,9
847,thinking,9
329,Moreover,9
1895,appearance,9
891,unchangeable,9
1202,desirous,9
1796,guided,9
278,keep,9
1236,universal,9
705,receives,9
226,merely,9
1103,attack,9
2027,curse,9
1854,former,9
1107,abode,9
235,air,9
499,generic,9
2413,dwelling,8
171,effect,8
1909,hated,8
357,happens,8
1432,belong,8
948,characteristic,8
89,equal,8
1957,fled,8
941,run,8
250,longer,8
1372,perishable,8
233,greatest,8
1092,possession,8
1080,round,8
2113,varied,8
220,star,8
1966,priest,8
2009,wine,8
923,factitious,8
786,pleasant,8
167,appear,8
851,acting,8
1405,accurate,8
1402,tell,8
2424,notice,8
2245,answer,8
1573,impious,8
3205,distinctness,8
1600,white,8
1591,foundation,8
543,individual,8
576,material,8
65,sun,8
2504,utterly,8
1014,consideration,8
906,vain,8
735,Pharaoh,8
671,ignorant,8
1238,dwells,8
703,mystery,8
148,cease,8
2453,flees,8
495,participation,8
1446,till,8
3124,storehouse,8
1525,enjoyment,8
406,concerning,8
739,rule,8
480,perception,8
1755,proof,8
875,offering,8
996,receiving,7
1075,One,7
810,innumerable,7
1271,garment,7
696,purpose,7
802,surrounded,7
694,filled,7
940,afterwards,7
1064,ruler,7
1266,imperfect,7
639,abundant,7
1219,occupied,7
708,A,7
3712,oath,7
660,barren,7
1227,honourable,7
871,pure,7
1231,whose,7
755,arises,7
1194,deed,7
1191,degree,7
918,besides,7
1187,considered,7
649,desert,7
1161,get,7
821,represented,7
980,meant,7
682,perhaps,7
1145,remedy,7
720,lay,7
465,grass,7
1554,alive,7
462,herb,7
2025,carry,7
2731,clearly,7
2390,efficient,7
1581,impossible,7
2029,door,7
3610,watch,7
490,sort,7
2075,praise,7
2089,attention,7
504,general,7
507,complete,7
2140,multitude,7
183,moved,7
510,likened,7
512,assigned,7
513,mentioned,7
1541,common,7
2417,dwell,7
87,Since,7
540,nourishment,7
627,knew,7
2508,Laban,7
381,sentence,7
1873,back,7
348,best,7
145,formation,7
1899,Rachel,7
1901,saw,7
1724,Was,7
1911,open,7
425,brilliant,7
1912,bearing,7
1919,last,7
1933,inheritance,7
1943,stripped,7
3272,eradicate,7
306,chest,7
1660,addition,7
2166,bitten,7
1855,presented,7
2263,flight,7
1394,arise,7
2856,cursed,7
2282,Dan,7
2284,path,7
591,eager,7
590,touch,7
598,breath,7
582,superior,7
2287,rider,7
1447,ground,7
2217,sublime,7
38,incorporeal,7
594,taking,7
2200,friend,7
1385,commanded,7
1472,athlete,7
3320,advancing,7
1480,endeavour,7
1478,exercise,7
310,important,6
2427,entire,6
356,connection,6
355,perceived,6
1059,examine,6
772,imitation,6
2285,heel,6
1179,skill,6
1043,Euphrates,6
1890,hope,6
757,although,6
1039,flow,6
768,manifest,6
1182,prudent,6
766,Eden,6
194,follow,6
2277,hostile,6
2291,legitimate,6
338,useful,6
839,near,6
138,blessed,6
2383,pernicious,6
3816,Moab,6
1034,sapphire,6
1989,burnt,6
1031,Evilat,6
2168,medium,6
3819,Sihon,6
1108,seat,6
1109,prepared,6
1105,interpretation,6
3818,Heshbon,6
2195,manna,6
2368,pilot,6
132,immortal,6
2125,beauty,6
1027,separated,6
2237,rod,6
2270,freedom,6
180,remain,6
2388,mischievous,6
1033,carbuncle,6
825,fill,6
1140,adapted,6
826,darkness,6
1144,appetitive,6
3461,sorrow,6
2001,Esau,6
2183,distance,6
164,appropriately,6
295,heart,6
1157,disposed,6
1158,yield,6
1764,beholds,6
1788,affection,6
961,road,6
967,practise,6
1498,plain,6
1511,faithful,6
516,produce,6
3035,forgetfulness,6
690,inanimate,6
54,sign,6
1559,meet,6
1561,rank,6
498,existed,6
1786,affair,6
3057,Bezaleel,6
702,secret,6
904,cut,6
478,consists,6
1308,meat,6
1468,piece,6
3113,accursed,6
1323,attain,6
1351,genus,6
4,completed,6
641,showing,6
3669,groaning,6
648,raise,6
1413,prohibition,6
925,becoming,6
945,philosopher,6
921,heard,6
946,fitting,6
584,imagination,6
919,guardian,6
1326,prayer,6
571,lead,6
1461,wrestler,6
75,correctly,6
2809,assertion,6
469,least,6
2658,le,6
1778,peg,6
384,begin,6
2549,seeking,6
2564,affect,6
205,combined,6
1760,discard,6
1001,supplanter,6
2586,exchange,6
1704,invited,6
2645,belongs,6
1699,enjoy,6
1696,immoderate,6
1040,front,6
1663,male,6
1664,female,6
1255,gratitude,6
2700,moreover,6
990,outside,6
1641,companion,6
3125,Behold,6
1657,specie,6
1612,distinguish,6
3000,slight,5
1037,Ethiopia,5
3109,riddle,5
2872,deceived,5
2361,Egyptian,5
2365,subdue,5
2360,perfectly,5
2863,defence,5
2349,onwards,5
2762,summoned,5
2574,confirmation,5
2519,temptation,5
2500,vigorous,5
2860,enmity,5
1029,Pheison,5
2582,Shechem,5
2385,profitable,5
3027,Ephraim,5
2467,scripture,5
2660,inclination,5
3157,guidance,5
968,thoroughly,5
3033,clear,5
2481,victory,5
2497,collect,5
1030,encircles,5
2695,confusion,5
985,science,5
950,beheld,5
3026,Manasses,5
3193,bridle,5
2597,measure,5
953,practical,5
1375,proceed,5
1042,fourth,5
1505,recommends,5
1545,combination,5
1571,suffer,5
1576,older,5
1580,class,5
1590,physician,5
1593,ship,5
1594,built,5
1597,propriety,5
1599,black,5
1603,sweet,5
1610,ally,5
3713,swear,5
1253,bound,5
1252,confesses,5
1251,Issachar,5
1248,display,5
1692,invite,5
1293,laughter,5
1298,teach,5
1701,learn,5
1299,feeling,5
1389,mayest,5
1398,inquire,5
1400,understanding,5
1409,possessed,5
1345,temperate,5
1344,subdued,5
1343,hard,5
1425,requires,5
1337,easily,5
1334,captive,5
1329,several,5
1322,fear,5
1463,vigour,5
1315,sober,5
1466,biting,5
1474,feed,5
1494,correct,5
1246,rightly,5
1719,statement,5
2339,horseman,5
1139,passionate,5
3442,flame,5
2055,perceive,5
2083,comprehends,5
1117,cowardice,5
2159,May,5
1113,surround,5
2174,rejoice,5
2191,wilderness,5
2215,health,5
1087,highest,5
1081,preserve,5
1049,branch,5
2289,salvation,5
2309,old,5
2314,mutilated,5
2319,advance,5
2337,tripped,5
2036,praised,5
1148,next,5
1721,believe,5
1154,happen,5
1727,strong,5
1750,perfected,5
1756,conception,5
3543,bless,5
1235,perish,5
1772,contemplation,5
1783,cover,5
1794,intense,5
1863,discerned,5
1881,supported,5
1884,circumstance,5
1885,past,5
1914,loved,5
1915,birthright,5
1941,subtle,5
1945,completely,5
1954,camp,5
933,position,5
2967,exceeding,5
901,purify,5
247,likely,5
910,subsequently,5
3870,eunuch,5
488,model,5
616,incapable,5
618,ask,5
258,competent,5
260,ordinary,5
266,period,5
156,creating,5
753,partaker,5
