lemma,count
Ἰάκοψ,3
φέγγος,3
ἐπίσταμος,3
31),3
μέλλος,3
πίστις,3
χαρίζοτα,3
δωρεά,3
ὁρώμενος,3
ἀήρ,3
ὅπου,3
ἀκουστής,3
μηδός,3
ἰδύς,3
ἀτμός,3
λεῖος,3
ἡμέτερος,3
βλέπω,3
ἀπόλειψις,3
ὁμοῦ,3
πόλεμος,3
„ἰδοὺ,3
ἐπάξιος,3
ἐραστής,3
ὅμιλος,3
φόβος,3
θεοφιλεύς,3
ἑρπετός,3
(Lev,3
περίοδος,3
ψεκτός,3
βραχύτης,3
„ἐπὶ,3
πορεύω,3
21),3
ἄθεος,3
πόρνη,3
διέξοδος,3
ἀνεπίληπτος,3
πολιτικός,3
ἐπίσκεψις,3
γεννήματος,3
λαλεύς,3
εὐθύβολος,3
βαίνω,3
μηκέτι,3
ἐπίσκοπος,3
ἀναγκαῖος,3
ἀγών,3
εἴρω,3
Φαραώ,3
ἀκολουθία,3
ἐναρμόνιος,3
γράμμα,3
ἐναντίον,3
ὑγεία,3
ἀγένητος,3
ἐν,3
ὥρα,3
γενέσις,3
ἐπαινείσθης,3
κατασκευή,3
ὕλη,3
εὐσέβεια,3
εἴδος,3
30),3
εὔχομαι,3
οὐράνιος,3
συνῳδός,3
φρονέω,3
μτός,3
εἰδοί,3
εὔλογις,3
κρείττος,3
ἑξῆς,3
Ἰσραή,3
εὐχή,3
μισάρετος,3
καταίρω,3
καίτοι,3
ἀνήγκη,3
ἔθω,3
.).,3
ἀτραπός,3
κινήσιος,3
ἀφροσύνης,3
ἀλαζονεία,3
σελήνη,3
διῳκίσμενος,3
πρίν,3
μανθάνω,3
ἐπίνοια,3
ὑπομονή,3
μεθόριος,3
ἐπίμικτον,3
μίγας,3
ἐτός,3
Φαραός,3
ἄνω,3
αἴτιος,3
δίχα,3
ἄστερος,3
οἶος,3
ὕπνος,3
γνώριμος,3
ποιός,3
εὐλογοῦντος,2
καταράσσωμαι,2
παντελής,2
τρεῖς,2
μετανάστασις,2
σύστας,2
μάρτος,2
δεθές,2
σπείρων,2
ἑστίος,2
θαυμάς,2
ἄντικρυς,2
κυβερνήτης,2
ὁργάν,2
ἀποτελός,2
ἔσθ’,2
ὁμοῖος,2
οὐσία,2
πρόσταξις,2
ὑπερήνω,2
ὑπήκους,2
αἰών,2
διδάσκω,2
παμμίαρος,2
νύνε,2
δάνεια,2
κτῆσις,2
εὐδαίμων,2
χρῆσις,2
οἰκέω,2
κάλλος,2
δηλούμενος,2
διαζευχθής,2
σκιά,2
μίμημος,2
ἀρχέτυπος,2
ἀμήχανος,2
νομοθεσία,2
οἰκεῖον,2
περιέχομενος,2
Αἰγύπτιος,2
οἰκήτωρ,2
ἐξαιρέω,2
χαλεπός,2
βαρύτατος,2
ἄχθος,2
σάρξ,2
ἄφθονος,2
ἵλαος,2
ἔξοδος,2
σορός,2
μνήμης,2
ἀξιομνημόνευτος,2
περιποίειος,2
25),2
ἀφθάρτα,2
ἀμετρίος,2
καταλιμπάνω,2
καρτερία,2
τύφος,2
μήπω,2
Ἑβραῖος,2
„ὧδε,2
(ibid,2
μηδέπω,2
ἀγαπός,2
ἱκανός,2
ζωή,2
καταπλαγή,2
ζάω,2
28),2
„τοῦ,2
ἔστις,2
σαλεύς,2
ἀνά,2
τάξις,2
Μαυσός,2
11),2
διάβασις,2
προθυμία,2
σωτήρ,2
εὐχαριστία,2
θαυμάζω,2
ῥύμα,2
ἀποδρήνη,2
δεύτερος,2
δρασμός,2
ὁπότε,2
δοῦλος,2
ἆθλος,2
ἐάω,2
παλαίσμα,2
συνεχή,2
ἀντιπάλλω,2
νικητήριον,2
φιλόνεικος,2
πονηθής,2
ἐνταυθοῖ,2
οὐδέποτε,2
ἐνδιάτριβος,2
πατρῷος,2
ἱερόν,2
αὐτομαθής,2
τροφή,2
ἀμέτοχος,2
ἐπίκλησις,2
ἴσης,2
ἀποθήσης,2
χείρ,2
αἴτιον,2
ὀμβρεύς,2
εὐεργεσία,2
Τίς,2
τελεσφόρος,2
φορός,2
ἀδιάστατος,2
ἐμαυτοῦ,2
συνήθης,2
πλήρης,2
ἔνθυμη,2
ἀγνοή,2
γραφόμενος,2
εὑρος,2
δεικνύμενος,2
πικρία,2
ἀθανασία,2
πεφυτεύσθης,2
πρᾶξις,2
ἀμυδρός,2
Reg,2
διδασκαλίος,2
ἀδιαφορός,2
θεωρείτης,2
ἐπιστήμων,2
ἅπαξ,2
διασυνίστησις,2
„εἶδεν,2
διδάσκειον,2
Μούσε,2
ὅμοιος,2
παράσταξα,2
θειοτέρ,2
λαγχάνω,2
ὀξυωπέστατος,2
ζωῦς,2
μήνυος,2
ὀργάνος,2
ἀκουστός,2
δοκιμάζετα,2
ἐπίφερος,2
ὥσθω,2
χρῶματος,2
γεῦσις,2
ῥίς,2
ἀμιγός,2
θεωρίος,2
ἐπίδοσις,2
παραλάμβανος,2
„τὸ,2
ἐπείδης,2
ἀτελή,2
ὄφελος,2
θεωρήματος,2
χαμαίζηλος,2
συνεχής,2
οὐκοῦν,2
ἀρωγός,2
δῆλος,2
ὀρέγω,2
συνέγγιζος,2
κέχρητος,2
ᾄδέτης,2
„οὐχ,2
ἀφροσύναιος,2
ἀδικία,2
ἄδικος,2
ἆρα,2
ὀλίγος,2
προσήκω,2
ὑπέραυχος,2
„οὐ,2
φοβηθήσης,2
καθαιρεύς,2
μισέω,2
πλεῖστος,2
μήν,2
πολύπους,2
ἄπους,2
ἀκάθαρτος,2
αἰνίτομες,2
14),2
θυσία,2
τοῦτος,2
εὐθύς,2
πολύθης,2
ἀνθός,2
γονεύς,2
ἀπορροή,2
