lemma,count
θεός,79
πᾶς,60
ψυχή,54
φημί,47
λέγω,47
μόνος,41
λόγος,40
βίος,37
γίγνομαι,36
ἀγαθός,32
φύσις,30
πηγή,27
εἶπον,27
ἄνθρωπος,27
ἕτερος,26
κακός,26
ἑαυτοῦ,24
ἔχω,23
πατήρ,23
θεῖος,23
ἀρετή,22
δύναμις,22
κύριος,20
ἀδελφός,19
ὅλος,19
τρόπος,19
νόος,18
σῶμα,18
καλός,18
ἀκούσιος,18
εὑρίσκω,17
ἀνήρ,17
ἐπός,16
ἄριστος,16
Μουσός,16
πρότερος,15
ὄνομα,14
τόπος,14
πόλις,14
ἀρχή,14
ἐκεῖνος,14
ἄξιος,14
αἰσθήσης,14
τοιοῦτος,14
σοφία,14
θάνατος,14
γένος,13
μηδείς,13
θνητός,13
ζωή,13
δόξα,12
ἑκούσιος,12
χείρ,11
γυνή,11
Λάβας,11
ἐπιστήμη,11
ἔργον,11
ἅπας,11
τρίτος,11
ἄγγελος,10
ἅτε,10
χρησμός,10
πολύς,10
ὁράω,10
παρύ,10
μᾶλλον,10
χράω,10
ἀεί,10
δοκέω,10
μέγας,10
οὐρανός,10
ποῦ,9
ἰδού,9
φάσκω,9
αἴτιος,9
ἕκαστος,9
τέλειος,9
εἶδον,9
ἴδιος,9
σοφός,9
γνώμη,9
ὁδός,8
ἑξῆς,8
φυγάς,8
φόβος,8
οἶδα,8
ἀμείνων,8
εἰκότως,8
τέκνον,8
ἄλογος,8
πολιτικός,8
δύναμαι,8
κατός,8
ταχύς,8
φεύγω,8
αἰών,8
ἀριθμός,8
μέλλω,8
καταφυγή,8
αἰδώς,7
γονεύς,7
καθός,7
ἡδονή,7
οἶκος,7
ἔοικα,7
ἔλεγχος,7
χάρις,7
ἔρχομαι,7
πάλιν,7
κόσμος,7
ἀκούω,7
παίδεια,7
πλοῦτος,7
ἵνα,7
μέρος,7
μέσος,7
πλησίος,7
ἡγεμών,7
διό,7
μήτηρ,7
ζητός,7
πάνυ,7
δώδεκα,7
ὀρθός,7
ζητέω,7
πρόσωπον,7
ὥσπερ,7
ὕδωρ,6
αἰτία,6
τρεῖς,6
φυγή,6
Σύρος,6
μανθάνω,6
ἀναγκαῖος,6
πάντως,6
ὄντως,6
φαῦλος,6
ἀψευδή,6
φρόνησις,6
ὅδε,6
ἀληθή,6
ἡμέρα,6
ποιέω,6
εὐθύς,6
ποιητικός,6
ὅταν,6
δεῖ,6
μονονός,6
βούλομαι,6
ἄνευ,6
λαμβάνω,6
δίκαιος,6
κακία,6
δόγμα,6
σύμβολος,6
χώρα,6
φύω,6
ἄνωθεν,6
πράγμα,6
ζάω,6
ἡμέτερος,6
ἁμαρτημάς,6
πρῶτος,6
νομοθέτης,6
λογικός,6
τροπή,6
ἀκοή,6
πρόσωπος,5
κυρία,5
γαστήρ,5
παῖς,5
γοῦν,5
Ἠσαύς,5
χρή,5
ὁμοῦ,5
χράομαι,5
οὐσία,5
ἡγεμονία,5
ὑύς,5
βασιλεύς,5
ψυχός,5
μτός,5
πρᾶξις,5
φυσικός,5
ἄψυχος,5
ἐπειδάν,5
μυρίος,5
Ῥέβεκκα,5
σκοπέω,5
δημιουργός,5
τέχνη,5
ἔμπαλιν,5
ἄκρα,5
ἡνίκα,5
πόνος,5
ἑρμηνεύς,5
γιγνώσκω,5
σύμπας,5
θυγάτηρ,5
τοῦτος,5
πρέσβυς,5
παιδεία,5
φόνος,5
δίδωμι,5
νεκρός,5
ὅρος,5
θέμις,5
15),5
γένης,5
καλέω,5
τέταρτος,5
κάθοδος,5
ἡγεμονικός,5
πόρνη,5
ζήτησις,5
ὅρασις,5
πίστις,5
ἀπό,5
αὔτομα,5
λάκκος,5
φοῖνιξ,5
ἑβδομήκοντα,5
ἐρῶ,4
νῦν,4
αὐστηρός,4
ἀσκητής,4
ἀποδίδρασκος,4
σός,4
ἕνεκα,4
ὕλη,4
μοῖρα,4
τάξις,4
θία,4
γέγων,4
δρασμός,4
ἀσκητικός,4
εἰστέρητα,4
περιποιός,4
περιουσία,4
ἀρετής,4
Αἰγύπτιος,4
τυφλός,4
27),4
πῶς,4
ἀπόδραθις,4
πατρίς,4
μέντοι,4
στόμα,4
ἀνάγκη,4
λογισμός,4
πρᾶγμα,4
τελειός,4
χαίρω,4
δυνατός,4
μήπω,4
νύνε,4
γνήσιος,4
ἄμια,4
σοφίος,4
διότι,4
θῆλυς,4
νόμος,4
θανατός,4
ζώς,4
ἀθάνατος,4
χρόνος,4
„ἰδοὺ,4
πρός,4
εἰ,4
τιμωρία,4
ἀμφότερος,4
καίτοι,4
ἕξ,4
ὕστερος,4
μακράν,4
ὑπονοία,4
14),4
ἀδικός,4
μήποτος,4
αὖ,4
οὖς,4
λεκτέον,4
ἔρημος,4
ἵλαος,4
12),4
εἱρμός,4
εὔρεσις,4
μήτε,4
ἴσος,4
αἴσθησις,4
γενέσις,4
ἄρτος,4
κύκλος,4
οἰκία,4
ἁγίος,4
ἀπεκάλυψος,4
Κάδης,4
ἔρχος,3
ἀποστρέφω,3
ταπεινός,3
υἱός,3
καλέσης,3
ἀγροῖκος,3
ἄγαρ,3
ἑταῖρος,3
φίλος,3
πρό,3
οἰκεύς,3
Ἰάκαψ,3
σημεῖον,3
φυγός,3
διδάσκω,3
μίσος,3
σπουδάσαξ,3
ἄσημος,3
εἶδος,3
διανοῖος,3
αἴτιον,3
μάθησις,3
πολλάκις,3
ἐχθρός,3
φωνή,3
μερός,3
συγγενής,3
μοχθηρός,3
κτῆμα,3
26),3
ἱερεῖον,3
ἱερόν,3
καλοκἀγαθία,3
παράπαν,3
προσηκόντως,3
ἀμέτοχος,3
δοῦλος,3
ἐπιμορφάζων,3
συνεργός,3
ἐκεῖθεν,3
χείρων,3
μακρός,3
εἶμι,3
ποιητός,3
πού,3
οὐδέποτε,3
καί,3
ἄχρι,3
πάρειμι,3
ψυχικός,3
νέος,3
ἄθλος,3
ἱερώμενος,3
εὐπραγία,3
ὅλα,3
κενός,3
ἄρρης,3
ἄρρην,3
διαφορά,3
τίθημι,3
