,lemma,count
86,'',106
23,``,106
426,God,82
152,say,69
29,men,64
188,But,56
39,man,55
361,soul,52
120,also,46
106,even,45
200,every,43
411,upon,43
788,power,39
76,may,39
58,name,37
355,evil,35
306,reason,35
198,mind,34
807,nature,34
563,I,33
251,good,33
283,body,33
333,wickedness,32
20,language,32
16,Moses,31
4,said,30
536,outward,27
51,city,26
373,word,26
28,among,26
626,part,25
833,virtue,25
240,able,24
57,heaven,24
158,another,24
133,place,24
202,whole,23
358,object,23
537,sens,23
42,let,22
161,mean,22
231,world,22
25,earth,22
340,action,21
356,cause,21
19,confusion,21
62,see,20
74,go,20
257,together,20
15,account,20
264,great,19
13,manner,19
162,would,19
52,tower,18
704,made,18
96,law,18
194,wicked,18
83,called,18
43,make,18
132,many,18
754,The,17
36,land,17
330,order,17
1099,divine,17
7,must,17
462,expression,17
321,indeed,16
55,shall,16
375,fact,16
288,put,16
1436,never,16
469,yet,15
299,punishment,15
345,though,15
61,Lord,15
63,son,15
583,passion,15
708,vice,14
459,without,14
743,namely,14
344,since,14
505,come,14
778,stand,14
242,might,14
384,person,14
690,kind,14
73,desire,14
304,time,14
222,universe,14
305,forth,14
658,water,13
1257,specie,13
527,like,13
113,truth,13
105,ye,13
143,hand,13
933,therefore,12
591,folly,12
621,destruction,12
286,received,12
140,better,12
229,animal,12
81,building,12
300,suitable,12
399,day,12
44,brick,12
186,become,12
405,people,12
406,country,12
210,still,12
1305,everything,11
412,respect,11
1112,sense,11
41,Come,11
126,others,11
1138,ruler,11
531,hearing,11
665,think,11
645,image,11
192,built,11
397,rather,11
683,way,11
102,impiety,11
254,pleasure,11
90,father,11
770,speech,11
721,wise,11
367,look,10
1599,created,10
50,build,10
1396,sojourner,10
319,alone,10
390,knowledge,10
524,contrary,10
450,natural,10
383,foreign,10
92,always,10
119,scripture,10
732,intellect,10
942,peace,10
267,often,10
573,Let,10
380,iniquity,10
243,meet,10
1113,eye,9
103,saying,9
40,neighbour,9
228,existing,9
82,On,9
579,division,9
175,’,9
204,first,9
35,plain,9
369,motion,9
818,seek,9
201,portion,9
466,wrong,9
962,end,9
963,life,9
889,away,9
1375,substance,9
922,taken,9
216,according,9
631,case,9
1200,spoken,9
695,whatever,9
10,consider,9
118,sacred,9
117,call,9
1093,inasmuch,9
338,energy,9
1160,neither,9
935,ever,9
67,race,9
863,meaning,9
701,idea,9
294,left,8
516,necessity,8
769,king,8
858,Israel,8
1238,incorporeal,8
1022,foolish,8
479,Now,8
972,harmony,8
594,injustice,8
521,honour,8
1165,show,8
730,wisdom,8
890,take,8
1468,justice,8
6,We,8
1289,work,8
171,subject,8
337,united,8
542,company,8
737,house,8
1343,sight,8
724,character,8
947,war,8
539,strength,8
552,side,8
1198,represented,8
429,established,8
808,naturally,8
1382,perfect,8
34,found,8
97,impious,8
33,east,8
952,beginning,7
1179,given,7
831,uttered,7
56,reach,7
780,Therefore,7
605,love,7
647,continually,7
939,purpose,7
309,common,7
1427,view,7
1214,form,7
482,disease,7
1068,injury,7
107,speaking,7
329,sin,7
711,full,7
444,far,7
911,done,7
1147,reasoning,7
1338,perceptible,7
837,doctrine,6
1661,becoming,6
1811,combination,6
1220,dawning,6
1221,worse,6
1327,pride,6
1288,certain,6
365,wish,6
1802,perhaps,6
436,separately,6
350,nevertheless,6
349,used,6
347,nation,6
346,different,6
392,fear,6
792,disposition,6
1727,necessary,6
1297,shaken,6
1253,passage,6
1321,quality,6
468,towards,6
310,divided,6
295,behind,6
826,sort,6
1347,equivalent,6
499,overthrow,6
1194,opinion,6
125,hear,6
203,could,6
1150,child,6
190,lawgiver,6
185,thus,6
660,region,6
532,seeing,6
909,foot,6
1124,matter,6
1109,looking,6
1108,abode,6
541,living,6
1424,thee,6
1092,advantage,6
1563,What,6
123,accustomed,6
2055,principle,6
629,act,6
1534,bound,6
115,behold,6
628,commit,6
98,use,6
89,constitution,6
1524,point,6
77,understand,6
72,anything,6
574,turn,6
1463,combined,6
17,give,6
1484,two,6
1005,curse,6
522,set,6
1754,creation,6
498,violence,6
214,heavenly,5
570,brought,5
1209,instruction,5
774,river,5
99,similar,5
1830,escape,5
585,appetite,5
1528,master,5
777,thou,5
1837,dispersed,5
1619,invisible,5
142,merely,5
370,le,5
272,sent,5
494,calamity,5
1704,perishable,5
696,free,5
1268,interpreted,5
351,sea,5
510,attack,5
237,present,5
556,direction,5
1024,unable,5
1062,genuine,5
400,nothing,5
53,whose,5
1049,labour,5
759,angel,5
582,second,5
1461,comprehension,5
578,capable,5
1292,appropriate,5
388,overwhelmed,5
65,Behold,5
1520,strong,5
848,destroyed,5
49,mortar,5
968,right,5
75,confuse,5
983,formed,5
379,pitch,5
46,fire,5
767,forward,5
78,voice,5
79,thence,5
693,sound,5
616,destroy,5
480,know,5
944,O,5
9,proceed,5
1314,Accordingly,5
3,already,5
