,lemma,count
69,men,87
9,man,68
10,slave,54
27,even,49
456,freedom,47
315,But,44
44,also,41
254,virtue,40
34,free,40
12,I,30
131,soul,30
33,virtuous,29
228,great,29
78,upon,28
132,nature,28
102,may,27
452,master,27
723,would,27
255,say,25
268,good,25
66,action,25
210,person,24
390,life,23
81,law,23
73,spirit,22
332,body,22
517,God,21
24,’,21
36,said,21
145,everything,21
174,time,19
64,respect,19
186,never,19
666,place,19
705,power,19
183,kind,18
251,others,18
866,though,18
80,rather,18
290,slavery,18
40,among,17
128,reason,17
208,death,17
1007,right,17
30,since,17
137,like,16
401,whole,16
96,wise,15
554,love,15
328,truth,15
522,indeed,15
851,become,15
422,character,15
117,wisdom,14
329,mind,14
7,every,14
434,must,14
582,courage,14
291,real,13
197,country,13
601,look,13
184,hand,12
123,able,12
484,fear,12
406,nothing,12
15,many,12
334,desire,12
527,king,12
548,account,12
167,take,12
602,evil,12
681,yet,12
65,word,12
902,make,11
138,living,11
166,city,11
546,another,11
394,therefore,11
168,part,11
283,still,11
113,manner,11
105,mean,11
104,speak,11
542,see,11
466,ever,11
838,sake,11
63,either,11
45,well,11
87,common,11
861,child,11
61,speech,11
345,might,10
641,noble,10
236,necessary,10
624,human,10
232,name,10
118,give,10
797,proof,10
288,thus,10
293,greatest,10
593,made,10
135,much,10
303,first,10
537,perfect,10
770,people,10
62,ought,10
524,earth,10
415,whatever,9
412,nevertheless,9
492,Therefore,9
8,wicked,9
54,object,9
71,philosophy,9
839,food,9
437,subject,9
397,case,9
387,taken,9
106,utterly,9
500,house,9
611,disposition,9
503,let,9
286,war,9
465,authority,9
470,fortune,9
506,alone,9
88,opinion,9
35,Now,9
314,born,8
519,mortal,8
159,anything,8
28,sort,8
37,sacred,8
1168,accustomed,8
598,want,8
310,last,8
1172,bring,8
287,Moreover,8
1087,principle,8
16,natural,8
607,looking,8
686,without,8
460,come,8
632,happiness,8
631,order,8
82,equal,8
142,live,8
623,event,7
1066,equality,7
21,full,7
446,speaking,7
100,idea,7
485,pleasure,7
664,Shall,7
486,pain,7
974,inasmuch,7
133,easily,7
225,know,7
84,divine,7
182,office,7
234,state,7
473,number,7
1049,nation,7
745,compulsion,7
622,bear,7
550,way,7
551,liberty,7
502,money,7
248,general,7
453,wickedness,7
783,art,7
392,called,7
443,expression,7
388,care,7
330,inferior,7
31,proceed,7
160,complete,7
432,matter,7
608,compelled,7
292,condition,6
841,bearing,6
718,contrary,6
296,birth,6
748,foolish,6
552,covetousness,6
218,command,6
156,different,6
922,At,6
221,assertion,6
474,often,6
224,really,6
409,age,6
951,merely,6
146,seen,6
285,peace,6
42,doctrine,6
403,fruit,6
1086,term,6
163,call,6
143,day,6
897,bought,6
46,plain,6
864,belong,6
574,poet,6
735,Accordingly,6
959,shall,6
1365,It,6
678,could,6
322,continually,6
263,possession,6
529,immortal,6
192,beyond,6
694,true,6
194,land,6
1096,towards,6
518,ruler,6
662,heaven,6
309,whose,6
613,slavish,6
349,namely,6
787,class,6
171,justice,6
814,enemy,6
454,passion,6
1307,long,5
965,strength,5
501,purchased,5
651,reply,5
451,two,5
341,disease,5
273,friend,5
23,father,5
116,beauty,5
888,display,5
324,brought,5
22,brother,5
32,show,5
880,deprived,5
350,knowledge,5
357,far,5
881,degree,5
973,happy,5
1372,barbarian,5
282,going,5
299,parent,5
1328,destroyed,5
107,destitute,5
108,education,5
958,tyrant,5
1371,Greece,5
829,put,5
708,appears,5
883,submit,5
1147,portion,5
1118,loss,5
737,Jews,5
172,public,5
195,unable,5
872,servant,5
67,use,5
346,learn,5
579,die,5
892,compel,5
1094,short,5
921,instead,5
1090,ignorant,5
822,wholly,5
1054,sufficient,5
499,existence,5
1023,subdued,5
680,victory,5
1650,fortitude,5
596,indifferent,5
1022,endure,5
189,banishment,5
906,son,5
14,established,5
426,away,5
231,proper,5
609,perform,5
1536,cause,5
643,obey,5
642,philosopher,5
1258,forward,5
122,These,5
618,circumstance,5
873,What,5
250,abundance,5
675,blow,5
610,indomitable,5
606,need,5
395,act,5
402,youth,5
1299,naturally,5
689,thoroughly,5
898,sold,5
1047,particular,5
726,fact,5
433,We,4
1203,equally,4
856,appointed,4
731,folly,4
1230,enslaved,4
1002,longer,4
1253,carefully,4
430,given,4
475,happens,4
461,powerful,4
431,However,4
1079,learned,4
416,originally,4
483,neither,4
1076,science,4
1209,attention,4
743,solid,4
2264,security,4
989,god,4
381,filled,4
18,argument,4
1298,temperance,4
1875,end,4
504,investigate,4
1214,whether,4
728,burden,4
711,strong,4
505,truly,4
358,company,4
1314,thy,4
983,think,4
410,vessel,4
508,independence,4
751,shepherd,4
367,forth,4
459,danger,4
971,miserable,4
1629,endured,4
1271,small,4
510,thousand,4
1348,instance,4
439,led,4
875,nobly,4
343,becoming,4
1770,showed,4
594,privilege,4
59,figurative,4
198,behold,4
909,prisoner,4
805,beast,4
1133,correctly,4
1057,fountain,4
57,labour,4
918,completely,4
920,actually,4
1473,destroy,4
2006,seeing,4
796,clear,4
1367,high,4
227,saying,4
794,service,4
230,find,4
2073,Athens,4
1461,keep,4
181,game,4
599,reputation,4
637,variety,4
130,eye,4
95,experience,4
1591,firmly,4
1592,chief,4
109,else,4
1067,following,4
1575,honour,4
1102,Zeno,4
1701,utter,4
1704,superior,4
72,genuine,4
824,carried,4
1675,replied,4
77,looked,4
821,employment,4
619,occasion,4
673,pancratium,4
1528,mankind,4
162,absurdity,4
241,enough,4
549,stand,4
1413,devoted,4
707,obtain,4
1032,treacherous,4
547,On,4
879,necessity,4
543,clearly,4
