lemma,count
πᾶς,68
πατήρ,49
ἀδελφός,48
μόνος,46
βασιλεύς,42
γίγνομαι,38
μέγας,34
ἅπας,34
ἔχω,33
ὅσος,32
πολύς,29
ἐκεῖνος,28
ἕτερος,28
φημί,27
λέγω,27
πρότερος,26
φύσις,25
ἕκαστος,25
πόλις,24
δεσπότης,24
καιρός,23
κακός,23
δοκέω,23
ἄνθρωπος,22
λόγος,22
ψυχή,22
ἐπός,22
Αἴγυπτος,22
ἀνήρ,22
χώρα,21
τρόπος,19
ἀρχή,19
μᾶλλον,18
καθός,18
θεός,18
πολιτικός,17
παῖς,17
τιμή,17
εἶπον,17
πρῶτος,16
μέλλω,16
οἰκία,16
εἶδον,16
λαμβάνω,16
παρύ,16
ὄνειρος,16
χρόνος,16
ἀγαθός,16
τοιοῦτος,16
ἡμέρα,15
τοσοῦτος,15
σῶμα,15
ἀναγκαῖος,15
γυνή,15
ἄξιος,14
ὁδός,14
θάνατος,14
μηδός,14
χάρις,14
λιμός,14
καθά,13
υἱός,13
πάθος,13
χράω,13
ὥσπερ,13
ζάω,13
ἴσως,13
ἐπιμέλεια,12
κατός,12
φαντασία,12
ἄχρι,12
ἀκούω,12
πρᾶγμα,12
πράγμα,12
κελεύω,12
ἕνεκα,12
τρεῖς,11
οἶδα,11
πρέσβυς,11
δέω,11
εὐνοῦχος,11
δοῦλος,11
ἡδονή,11
ὁράω,11
ἑπτά,11
ἵνα,10
ἐμός,10
πάρειμι,10
πλεῖστος,10
μυρίος,10
ὄχλος,10
νεανίης,10
δίδωμι,10
ἔργον,10
ὄψις,10
βίος,9
ἐλπίς,9
ἥσσων,9
μικρός,9
ἔθος,9
συμφορά,9
χαλεπός,9
ἐπιβουλή,9
ἀβούλητος,9
ὑπός,9
ὅλος,9
δῆμος,9
ὀλίγος,9
ἀλήθεια,9
σφόδρα,9
ἐπιθυμία,9
αἰτία,9
χρηστός,9
νέομαι,9
ἄριστος,8
πάλιν,8
καλός,8
ἔοικα,8
ἔρχομαι,8
φόβος,8
