lemma,count
θεός,370
ψυχή,240
νόος,231
πᾶς,185
λόγος,151
φημί,144
γίγνομαι,132
ἀρετή,127
μόνος,114
ἡδονή,110
λέγω,90
αἰσθήσης,87
σῶμα,86
ἔχω,82
ἄλλος,80
πάθος,80
καλός,75
ὥσπερ,59
φύσις,58
ἄνθρωπος,56
γυνή,56
δύναμις,55
ἕτερος,54
ἀγαθός,53
τοῦτος,51
κύριος,51
ποιέω,50
ὁράω,50
τρόπος,48
κακία,48
εἶπον,45
μέρος,45
πολύς,45
ἵνα,45
ἔργον,44
Μουσός,44
αἴσθησις,43
ὅλος,43
κατός,43
πάλιν,42
λαμβάνω,41
ἄλογος,41
τέλειος,39
ἡμέρα,39
πρῶτος,39
ἐκεῖνος,38
ὄνομα,36
αἰσθητός,36
ἐπός,36
δύναμαι,35
πῶς,35
ἴδιος,34
φαῦλος,34
πατῶς,34
καθός,33
δύο,33
αἶσθα,32
θεῖος,32
κακός,31
εὑρίσκω,31
νῦν,30
εἶδον,30
ξύλος,30
οὐρανός,29
καλέω,28
μέσος,28
λογισμός,28
σοφός,28
ὄφις,28
θνητός,27
ἀρχή,27
πρότερος,27
χάρις,27
ἀνήρ,27
πατήρ,26
ἕκαστος,26
λογικός,25
ἀεί,25
δεύτερος,25
δεῖ,25
κόσμος,24
ἰδύς,24
ἐκτός,24
ἀκούω,24
φρόνησις,24
θυμός,24
ἑρμηνεύς,24
δίδωμι,24
χρόνος,23
ἅπας,23
οἶδα,23
γαστήρ,23
ἀλήθεια,23
σοφία,22
πρᾶξις,22
ὅσπερ,22
ἴσος,21
ἐρῶ,21
γένος,21
ἕνεκα,21
δοκέω,20
κοιλία,20
ἄξιος,20
παραδείθω,20
πολλάκις,20
χείρων,20
ἐπιθυμία,20
βοηθός,20
φεύγω,20
ὀρθός,19
εἰκών,19
σπέρμα,19
ὄντως,19
φωνή,19
πόλις,19
νοητός,18
ἐργάζομαι,18
μέγας,18
ποταμός,18
παράδεισον,18
ἐκεῖ,18
βίος,18
βασιλεύς,18
Ἰάκαψ,18
τροπή,18
στῆθος,18
ἄνευ,18
γυμνός,18
ἀνάγκη,17
χείρ,17
εὐθύς,17
εἰκότως,17
πονηρός,17
ὅπου,17
θάνατος,17
οἶκος,17
δεσπότης,17
υἱός,17
τρίτος,16
εὖ,16
ἄγω,16
ζάω,16
λεκτέον,16
δίκαιος,16
λίθος,16
σωματικός,16
ἄρχω,15
ἄριστος,15
φέρω,15
σύμβολος,15
τόπος,15
δόξα,15
ἐνέργεια,15
χράω,15
ὄφος,15
πάνυ,14
τρεῖς,14
ἐπιστήμη,14
ζῷον,14
ἀκοή,14
ζωή,14
πνεῦμα,14
πάσχω,14
σωφροσύνη,14
ἄφρων,14
ἕως,14
γενητός,14
θηρίος,14
ἐμός,14
βούλομαι,13
ἐπίφερος,13
γενέσις,13
πρίν,13
ὁρμή,13
αἴτιος,13
τίθημι,13
δόγμα,13
ἀποδίδρασκος,13
ψυχικός,13
ἀδάμ,13
νόμος,13
λαός,13
σχεδόν,12
ἀγρός,12
τροφή,12
οὐσία,12
μέλλω,12
μήτηρ,12
ἀσκητής,12
πρᾶγμα,12
σπουδαῖος,12
μαρτυρέω,12
φίλος,12
ἀμφότερος,11
σύνολος,11
φύω,11
τέλος,11
μάλιστα,11
ῥῆμα,11
ἑός,11
ἄχρι,11
πρόσωπον,11
νόσος,11
ὕδωρ,11
χράομαι,11
φυσικός,11
νύνε,11
φυτός,11
διανοῖος,11
μνήμη,11
τέχνη,11
