,lemma,count
58,men,348
223,man,324
46,also,270
189,may,268
129,God,253
8,law,241
206,But,229
808,even,223
210,upon,195
309,nature,181
375,time,177
486,shall,174
109,I,168
284,first,164
81,every,163
248,soul,160
265,person,159
83,body,153
632,order,150
67,reason,140
711,life,139
219,since,138
405,place,135
431,let,135
19,must,134
279,say,130
343,sacred,124
382,day,124
125,whole,123
56,would,121
36,part,121
132,priest,119
359,great,118
472,sacrifice,117
227,good,117
253,animal,114
71,without,110
340,power,108
52,kind,106
224,woman,103
212,two,98
381,take,97
192,account,93
161,make,93
371,fruit,92
364,year,91
1320,number,90
406,honour,90
440,give,89
137,ought,89
63,cause,89
304,city,88
424,virtue,87
86,manner,84
218,mind,84
274,therefore,83
178,made,81
1161,action,81
4,The,81
500,another,80
1093,punishment,79
238,others,79
1803,death,77
776,land,74
249,like,74
267,child,74
301,world,73
39,though,73
32,people,72
331,justice,72
628,truth,71
91,might,71
494,respect,71
134,case,70
1255,food,70
170,mean,69
45,nation,69
136,evil,68
23,command,68
197,come,68
450,given,68
438,whether,67
9,called,67
203,Moses,66
27,holy,66
1754,parent,66
1104,either,65
731,still,63
1231,never,63
491,hand,63
242,’,62
180,said,62
44,among,62
12,commandment,61
338,different,61
78,many,61
817,desire,61
236,indeed,60
314,earth,60
538,house,60
1285,proper,60
177,thus,59
228,lawgiver,58
466,temple,58
327,care,58
909,father,57
1018,disposition,56
689,become,54
156,living,53
806,received,53
1345,festival,52
261,namely,52
1117,judge,52
1346,common,52
1216,use,52
724,necessary,52
815,human,51
916,receive,51
2003,master,51
542,offer,51
454,able,51
582,away,51
608,inasmuch,51
780,full,50
97,greatest,50
306,heaven,49
413,perfect,49
1252,forth,49
885,ever,49
209,look,48
803,put,48
126,way,47
1110,giving,47
844,eye,47
978,portion,47
692,wholly,47
241,second,47
2171,passion,46
2154,enemy,46
341,brought,46
312,air,46
1257,blood,45
509,character,45
872,pure,44
2048,offered,44
305,ruler,44
920,else,44
130,object,44
258,sight,44
1197,slave,43
2195,name,43
1242,making,43
1162,done,43
151,within,43
165,sens,43
441,service,43
495,excellent,43
1311,bring,42
1413,natural,42
376,servant,42
293,sun,42
337,everything,42
489,word,42
330,accordance,42
468,altar,42
85,relation,41
535,offering,41
148,sake,41
670,high,41
231,connection,40
326,committed,40
490,anything,40
239,whatever,40
437,alone,40
362,see,40
363,season,40
174,important,40
1557,victim,40
749,matter,39
1735,free,39
158,Therefore,39
393,taken,39
164,outward,39
271,nothing,39
1806,husband,39
528,worthy,38
527,think,38
842,light,38
286,well,37
967,show,37
53,wisdom,37
797,rather,37
62,real,37
1021,conduct,37
1779,wickedness,36
1882,mother,36
1040,equal,36
216,pleasure,36
2368,seventh,36
442,due,36
2727,oath,36
1789,offence,36
40,act,36
804,together,35
1637,crop,35
673,greater,35
534,purpose,35
1057,always,34
1832,injunction,34
259,true,34
266,live,34
114,fact,33
1695,fire,33
642,reference,33
1258,dead,33
525,love,33
2708,seven,33
773,virtuous,33
1935,often,33
573,possible,33
280,subject,33
208,already,33
446,set,33
3226,iniquity,33
1792,yet,33
160,right,33
983,race,33
2283,slain,32
107,call,32
43,degree,32
2562,feast,32
682,piety,32
1067,share,32
1463,open,32
191,On,32
1474,commanded,31
294,moon,31
590,long,31
2019,injury,31
589,last,31
414,universe,31
973,similar,31
2094,beast,31
956,event,31
851,go,31
34,ordinance,30
854,towards,30
199,divine,30
419,work,30
1584,value,30
789,sea,30
448,liable,30
2033,THE,30
1054,friend,30
378,taking,30
734,Now,30
2931,wicked,30
1443,tree,30
1709,appointed,30
1658,water,30
369,period,30
1065,Moreover,30
1498,individual,29
1000,better,29
1770,property,29
660,beauty,29
964,could,29
1619,mentioned,29
626,false,29
333,contrary,29
47,especially,28
1771,beginning,28
521,looking,28
1627,circumstance,28
402,intellect,28
1868,instead,28
545,blessing,28
911,thy,28
1187,authority,28
1156,fear,28
2518,rest,28
997,short,28
1978,produce,28
798,necessity,28
153,thought,27
1024,class,27
159,old,27
1977,equality,27
1686,becoming,27
169,superior,27
975,innumerable,27
925,want,27
1250,ground,27
1921,If,27
1468,possession,27
936,gift,27
552,pay,27
1217,specie,27
1752,marriage,26
54,In,26
1260,deprived,26
583,present,26
807,Again,26
1915,plain,26
302,created,26
512,money,26
103,disease,26
747,perhaps,26
380,night,25
497,honourable,25
430,essence,25
908,son,25
1878,die,25
99,importance,25
297,god,25
344,change,25
1469,much,25
20,proceed,25
11,ten,25
57,fitting,25
3855,feeling,25
2359,speak,25
6,head,25
418,assigned,24
1950,humanity,24
397,road,24
944,beyond,24
644,thinking,24
556,multitude,24
870,know,24
1001,condition,24
1020,born,24
1053,country,24
3108,advantage,24
2780,vow,24
247,opinion,24
1830,wife,24
947,keep,24
1829,Let,24
2199,belly,24
289,concerning,24
1593,three,23
1808,seed,23
417,regard,23
984,sufficient,23
1869,established,23
796,naturally,23
1975,private,23
1182,war,23
462,far,23
384,labour,23
390,state,23
1753,virgin,23
513,seek,23
1466,suitable,23
1572,foot,23
1855,display,23
0,A,23
22,particular,23
277,This,23
207,besides,23
211,symbol,23
295,star,23
186,neither,23
2290,escape,22
68,custom,22
366,existence,22
283,turn,22
171,idea,22
674,mankind,22
2362,occasion,22
1749,appetite,22
750,It,22
1542,respecting,22
1508,sin,22
2111,sort,22
838,find,22
1052,left,22
1668,placed,22
385,continually,22
269,whose,22
601,birth,22
270,lead,21
195,These,21
449,impiety,21
2474,accusation,21
767,constitution,21
18,We,21
1688,third,21
235,excessive,21
49,appear,21
716,fit,21
1322,permit,21
923,hope,21
185,easily,21
2759,bear,21
342,pas,21
3333,stranger,21
1461,attack,21
3190,seems,21
654,form,21
1691,accustomed,21
1173,reward,21
346,knowledge,20
539,abundance,20
533,neighbour,20
1765,looked,20
1772,end,20
373,according,20
1081,impious,20
21,consider,20
2080,male,20
308,fixed,20
2214,benefit,20
574,proof,20
821,witness,20
593,need,20
2429,preservation,20
183,proceeds,20
1215,suffer,20
526,rich,20
1490,certain,19
822,merely,19
1392,supply,19
990,previously,19
1773,utterly,19
957,around,19
2,ON,19
1881,six,19
656,quality,19
1166,commit,19
1956,vessel,19
463,appearance,19
2776,best,19
1489,deposit,19
74,folly,19
2675,calamity,19
2453,affair,19
276,devoted,19
2320,back,19
55,consequence,18
2412,incurable,18
532,wealth,18
698,teach,18
1800,allowed,18
1467,revenue,18
2510,spring,18
475,purification,18
1615,month,18
518,image,18
1769,marry,18
1086,likely,18
775,truly,18
252,beautiful,18
1500,lawful,18
502,appears,18
522,happiness,18
1761,gain,18
523,poor,18
2414,preserve,18
163,visible,18
1267,worse,18
2005,meat,18
1927,table,18
2006,inheritance,18
105,difficult,18
1424,exceeding,18
1055,holiness,18
1304,irrational,18
1205,intention,18
168,invisible,18
2393,covetousness,17
193,practise,17
42,slight,17
416,king,17
1683,secondly,17
1660,strength,17
1694,behalf,17
1337,found,17
1185,freedom,17
1019,originally,17
1174,peace,17
3095,wall,17
1097,darkness,17
580,hold,17
1864,relationship,17
2186,sacrificed,17
1486,almost,17
2088,clean,17
2109,nevertheless,17
2668,principle,17
2632,till,16
3138,compassion,16
1883,brother,16
115,derived,16
299,exist,16
2115,praise,16
2268,murder,16
2506,longer,16
1175,priesthood,16
1710,drink,16
198,ear,16
546,owner,16
16,former,16
3441,adultery,16
2021,add,16
356,fall,16
3098,danger,16
3450,abstain,16
1893,kept,16
2545,affection,16
2192,speech,16
1798,laid,16
4378,guilty,16
829,doctrine,16
1801,widow,16
1404,creature,16
1457,safety,16
433,forward,16
1375,complete,16
1391,abundant,16
1502,excellence,16
434,everlasting,16
1361,filled,16
320,Father,16
492,forbidden,16
1397,le,16
866,description,16
1386,double,16
938,receives,16
863,inferior,16
1105,judgment,15
736,philosophy,15
1123,company,15
1581,point,15
603,continual,15
110,imagine,15
1103,delay,15
146,heart,15
2448,participation,15
3380,age,15
882,useful,15
1537,misfortune,15
3063,assistance,15
3841,penalty,15
1056,refuge,15
1323,perform,15
2310,gentle,15
2755,feel,15
1313,gratitude,15
810,properly,15
2739,addition,15
662,harmony,15
128,consecrated,15
875,learning,15
1758,allow,15
2410,miserable,15
1711,wine,15
3310,perfection,15
66,considering,15
1144,side,15
147,prepared,15
1277,future,15
230,minister,15
1,TREATISE,15
278,enough,15
2129,price,15
2146,belongs,15
300,aware,15
29,begin,15
480,pride,15
1922,partake,15
551,language,14
2256,lot,14
1460,choose,14
111,becomes,14
2540,instance,14
184,path,14
1586,single,14
1591,four,14
2409,lesson,14
1201,remain,14
264,error,14
1606,entirely,14
196,consideration,14
245,terrible,14
629,bringing,14
1646,flock,14
1648,sign,14
939,easy,14
1153,openly,14
3419,anger,14
484,saying,14
2173,abode,14
793,regular,14
1180,enjoy,14
2489,insolence,14
760,moment,14
1495,tribe,14
541,going,14
1708,touch,14
2241,neglect,14
1874,gave,14
592,endure,14
1033,new,14
2483,unjust,14
2161,joy,14
1774,irreproachable,14
1127,There,13
2663,O,13
1918,kindness,13
683,carried,13
246,vain,13
1227,sound,13
886,blame,13
2826,half,13
1914,nearly,13
1920,lay,13
1707,approach,13
1390,stone,13
1852,daughter,13
2434,wish,13
1022,entitled,13
157,being,13
2468,female,13
488,express,13
2466,akin,13
1492,selected,13
1484,numerous,13
233,figuratively,13
2108,bound,13
2355,thanks,13
1448,burden,13
728,conjecture,13
1041,rank,13
460,model,13
2850,fountain,13
2984,behave,13
457,material,13
701,really,13
543,prayer,13
1511,countryman,13
2224,burnt,13
2742,injured,13
1321,next,13
633,prevent,13
1933,unclean,13
336,rule,13
1793,reproach,13
1324,rise,13
1777,ancient,13
946,carry,13
910,desirous,13
648,art,13
4828,CONCERNING,13
1102,inflict,13
329,strict,13
2066,barley,13
1745,profane,13
2017,compelled,13
345,ignorance,13
560,especial,13
2075,luxury,13
1314,fortune,13
905,teacher,13
65,dignity,13
2082,sheep,13
2772,fertile,13
2081,ox,13
2054,fat,13
2254,stand,13
1084,learnt,13
2627,avoid,12
550,figurative,12
400,sense,12
2881,middle,12
1306,cut,12
1622,shown,12
924,pardon,12
615,glory,12
561,source,12
98,weight,12
4833,murderer,12
591,reality,12
559,blind,12
1885,provided,12
3474,insult,12
744,study,12
1154,unholy,12
2210,temperance,12
3910,tribute,12
84,nearest,12
37,generation,12
555,however,12
2427,contemplation,12
828,reasoning,12
2135,happens,12
969,energy,12
835,eager,12
2464,expression,12
1079,return,12
1719,inclined,12
498,distinct,12
401,appreciable,12
1286,prophet,12
1232,accurate,12
529,attention,12
1931,flesh,12
323,propriety,12
2269,consistent,12
1700,merciful,12
887,unable,12
566,strong,12
1119,assembly,12
1873,destruction,12
33,general,12
2022,theft,12
154,organ,12
370,plant,12
1354,earliest,12
347,speaking,12
1971,party,12
636,likewise,12
319,Being,12
1741,grievous,12
705,connected,12
1503,receiving,12
474,ceremony,12
795,motion,12
2329,teeth,12
260,creation,12
339,subordinate,12
1318,moreover,12
3822,unless,12
915,thee,12
687,impression,12
950,When,12
318,supreme,12
3595,ordained,12
2490,violence,11
2491,inflicted,11
1884,sister,11
1497,office,11
1509,foolish,11
220,delight,11
2614,flame,11
89,pain,11
994,destitute,11
1350,seeking,11
1344,came,11
894,interpreter,11
325,charge,11
1372,union,11
3377,lie,11
4840,kill,11
2085,lamb,11
1932,chance,11
451,gold,11
348,following,11
2661,blameable,11
1402,outside,11
1405,except,11
818,endeavour,11
3433,reputation,11
2077,allotted,11
459,mortal,11
2042,TO,11
1206,lover,11
3280,spoken,11
2065,wheat,11
96,previous,11
1445,admit,11
937,appropriate,11
2056,loaf,11
1892,duty,11
1294,Having,11
2098,cattle,11
1979,inequality,11
386,thousand,11
3650,FESTIVAL,11
1766,purified,11
1159,advantageous,11
1650,firmly,11
1703,precept,11
1989,sometimes,11
1567,representation,11
1155,influenced,11
3605,attempt,11
2023,thief,11
1573,emblem,11
2134,vigour,11
554,used,11
616,mere,11
1987,wage,11
1861,separate,11
1986,business,11
3813,blow,11
2239,obey,11
1043,native,11
1039,Accordingly,11
3801,mention,11
3107,enjoyment,11
1767,course,11
3799,arise,11
28,scripture,11
1781,market,11
2159,payment,11
1676,calculated,11
1972,court,11
493,expressly,11
774,He,11
2175,home,11
1519,entire,11
1844,something,11
563,resembling,11
2457,brings,11
1849,family,11
1785,united,11
389,existing,11
1833,permitted,11
1554,ministration,11
762,notion,11
1100,seen,11
351,thou,11
1693,fellow,10
2272,inhabitant,10
2721,exact,10
3327,produced,10
2723,falsely,10
1702,After,10
1721,force,10
1120,accuser,10
2166,arm,10
149,breath,10
1058,ready,10
3771,courage,10
540,noble,10
1245,bird,10
1179,contest,10
1820,taught,10
1332,powerful,10
1733,leave,10
1283,forbids,10
3255,suffered,10
579,firm,10
3248,distance,10
1292,instrument,10
268,barren,10
1096,chosen,10
941,favour,10
5319,unrighteous,10
553,celebrated,10
1298,highest,10
932,praiseworthy,10
968,copy,10
929,instruction,10
3877,opportunity,10
1305,rational,10
1759,harlot,10
262,although,10
3712,suffering,10
1109,magistrate,10
1742,intolerable,10
2785,excess,10
1740,mischief,10
3042,Creator,10
2729,swear,10
987,peculiar,10
1954,confusion,10
1212,At,10
2114,wishing,10
511,covetous,10
2469,related,10
1858,small,10
26,passage,10
839,vast,10
3451,committing,10
959,guard,10
2560,liver,10
1181,safe,10
2940,ignorant,10
1151,public,10
2462,concealed,10
2555,view,10
733,investigation,10
3139,completely,10
1810,field,10
234,superfluous,10
2100,herd,10
2117,keeping,10
478,extremity,10
1896,otherwise,10
501,meaning,10
1471,destroyed,10
2128,separated,10
1477,ransom,10
1042,bestowed,10
1478,cheerfulness,10
77,probable,10
681,genuine,10
781,stream,10
1521,blemish,10
772,wise,10
1220,observance,10
4508,killed,10
4075,habit,10
2143,corn,10
2373,veil,10
1605,calling,10
3430,wrong,10
1666,arrangement,10
1407,enter,10
2375,dominant,10
2089,eating,10
710,happy,10
3700,secret,10
712,blessed,10
2119,modesty,10
794,revolution,10
1856,partly,10
292,conceived,10
1082,difference,9
1080,utter,9
1995,carefully,9
1282,convicted,9
2771,tribunal,9
2032,effect,9
121,rite,9
1270,citizen,9
3150,provide,9
2039,ARE,9
1126,champion,9
387,contribute,9
1047,treat,9
2991,uninterrupted,9
1244,support,9
404,attain,9
1262,original,9
388,duration,9
162,evident,9
4317,bearing,9
1118,member,9
1199,burning,9
1114,implacable,9
1150,displayed,9
3038,correct,9
1066,enjoins,9
1112,hate,9
1193,slavery,9
1967,heavy,9
1048,friendship,9
1807,alive,9
958,attend,9
730,comprehend,9
743,vice,9
748,impossible,9
2451,honoured,9
3581,five,9
1551,near,9
758,garment,9
3578,infant,9
3575,defence,9
2472,element,9
1523,mutilation,9
1517,youth,9
2487,innocent,9
792,variety,9
1482,relaxation,9
2090,young,9
2430,sin-offering,9
729,hard,9
1909,pity,9
1859,willing,9
2187,eaten,9
2203,washed,9
594,explain,9
2172,concerned,9
557,follows,9
604,incessant,9
1747,unlawful,9
2235,Since,9
255,arrogance,9
651,system,9
1831,agreement,9
1701,humane,9
676,accord,9
1675,thoroughly,9
2407,taste,9
840,quantity,9
1535,examine,9
1002,Do,9
940,deserving,9
2674,prosperity,9
1938,evening,9
1917,mercy,9
1381,length,9
917,supplication,9
452,silver,9
1297,universal,9
2688,spread,9
426,render,9
2656,health,9
2060,recollection,9
435,comprehended,9
943,impulse,9
200,spirit,9
951,heard,9
2083,goat,9
3385,face,9
2714,ash,9
1291,voice,9
2163,cutting,8
1697,thanksgiving,8
1717,limb,8
2242,poverty,8
2156,excuse,8
1840,caused,8
1729,beforehand,8
1981,measure,8
2294,limit,8
2790,vowed,8
1300,ornament,8
1734,faculty,8
1091,punished,8
1812,offspring,8
1797,regulation,8
2000,toil,8
1815,coming,8
2764,obtain,8
1090,deserve,8
2213,acquire,8
2168,acting,8
2018,steal,8
2216,driven,8
61,investigate,8
2169,gentleness,8
1822,obedience,8
1851,commanding,8
2316,passing,8
4948,strike,8
2376,archetypal,8
1406,enjoined,8
1879,allowing,8
2037,AND,8
2104,tell,8
2535,benefactor,8
127,suited,8
1907,showing,8
1912,design,8
1436,aim,8
2087,considered,8
2571,injustice,8
2576,suppose,8
2865,treacherous,8
2864,reject,8
2595,lying,8
1423,situation,8
2862,substance,8
1222,sacrificer,8
1514,bull,8
1616,division,8
2696,sinned,8
2392,intemperance,8
1601,proportion,8
2624,seeing,8
1147,chief,8
113,burn,8
1247,direction,8
1363,leisure,8
1569,round,8
2669,fallen,8
2816,polluted,8
1164,impetuosity,8
2053,bread,8
2823,fine,8
1543,wear,8
1177,voluntarily,8
1951,beneficial,8
1261,piece,8
2923,step,8
720,immortal,8
935,bestow,8
412,external,8
465,built,8
4637,pollution,8
3537,interest,8
1062,bond,8
847,faint,8
790,admirable,8
927,flee,8
799,governor,8
3526,moderate,8
912,relating,8
202,writing,8
3755,submit,8
1012,disciple,8
4760,audacity,8
576,suddenly,8
659,hearing,8
655,distinctive,8
321,imitation,8
721,recorded,8
3454,inhuman,8
707,attached,8
4845,treacherously,8
3142,orphan,8
504,conveyed,8
3641,unleavened,8
425,actually,8
4276,putting,8
499,prohibition,8
3881,sell,8
470,honouring,8
4830,homicide,8
354,led,8
3225,lawless,8
4344,Why,8
3386,afterwards,8
285,relate,8
487,teaching,8
4769,damsel,7
3340,evidence,7
2685,hymn,7
2697,turning,7
1351,tranquillity,7
1352,remission,7
1353,respite,7
1365,consists,7
2702,unintentionally,7
1778,wound,7
1780,deliberate,7
1359,cheerful,7
2699,accounted,7
1809,sown,7
2717,ram,7
1293,chooses,7
303,large,7
503,intended,7
505,influence,7
2136,equally,7
1256,entrails,7
2788,valuable,7
1850,married,7
2777,ordinary,7
2773,soil,7
2766,exert,7
531,admiration,7
3271,throw,7
2718,offender,7
537,morning,7
2753,wait,7
3277,victory,7
2167,manly,7
1310,desirable,7
1312,contribution,7
2212,imaginable,7
2737,stolen,7
570,unstable,7
571,wind,7
1338,took,7
1385,costly,7
64,prudence,7
877,conception,7
1641,summer,7
1506,appeared,7
686,deep,7
1515,slay,7
3690,became,7
2319,little,7
3678,raise,7
1659,derive,7
1657,flower,7
3675,affect,7
1540,enjoining,7
1544,dress,7
1642,winter,7
3589,blameless,7
2291,notice,7
1561,incense,7
1633,violent,7
2446,admits,7
2440,twofold,7
740,question,7
2377,equinox,7
1614,exhibit,7
2389,moderation,7
1595,divide,7
2413,salt,7
3639,sheaf,7
2395,nourishment,7
221,afford,7
801,exists,7
876,implanted,7
2583,assist,7
3902,desired,7
871,accurately,7
867,reasonable,7
2659,consumed,7
1760,pursuit,7
2221,memorial,7
2640,exposed,7
849,task,7
2613,innate,7
2607,pour,7
2236,difficulty,7
1426,foreigner,7
2582,dwell,7
678,lest,7
841,unalloyed,7
836,behold,7
1728,acute,7
1725,active,7
1715,intemperate,7
1714,sleep,7
2520,government,7
1470,extent,7
2265,pasture,7
2513,borne,7
3748,production,7
5316,injure,7
2813,depends,7
4381,crime,7
353,host,7
2028,mouth,7
458,using,7
1980,unequal,7
3060,treated,7
1075,tongue,7
2059,proceeding,7
411,belong,7
144,Thirdly,7
150,contained,7
4322,content,7
1905,depart,7
1140,sudden,7
4515,revenge,7
2106,kindred,7
